chimera	狮头
maidenhead	处女膜
squilgee	=squeegee
stratigraphy	地层中的岩石组成
chromatopsia	部分色盲
freeloader	揩油的人
shortening	缩针
perceptual	有知觉的
canaliform	状似运河或管子
pleochromatism	=pleochroism
syphilitic	梅毒病人
student	研究者
bluster	吓唬
ebullition	迸发
apolaustic	放纵
compulsive	强制的
maracca	=maraca
subordinating	连接主句和从句的
rushy	多灯心草
undoubtedly	无庸置疑
serried	密集
thermoplastic	热塑性的
flanker	侧面堡垒
articulator	发音矫正器
plainstones	板石
surrounding	周围的
polymorphic	多态
abiogenesis	自然发生
organogeny	=organogenesis
lucullian	奢侈
scarification	松土
editorial	编辑上的
magnisonant	高调
poignant	尖锐
phonic	声音
ritzy	讲究
acellular	非细胞组成的
mordacious	锐利
ringing	干脆
incendiary	煽动
rubelliform	似风疹的
vanadate	钒酸盐
refutable	可驳倒
annotate	评注
kidderminster	的都市
hindustani	印度斯坦
flea	低廉的旅馆
plicate	有皱襞的
nill	不愿
orientate	向东
mongolia	蒙古
fibrinuria	纤维素尿
fifa	Association
championship	锦标赛
spinate	有刺
sewing	缝纫
mainboard	主板
suberect	几乎笔直向上长的
drive	驱赶
aweary	疲倦的
abbreviatory	省略的
nonenzymatic	非酶的
reasoningly	推论地
striola	细线条
patulous	张开的
unorderly	杂乱
undro	Relief
proletariate	无产阶级
anima	生命
hypo	海波
cystiform	囊状的
transvenous	经静脉
babylonia	巴比伦尼亚
thunderous	打雷
parlous	狡猾
buteshire	比特郡
towards	向
prehistoric	陈旧的
chipper	爽快
spendthrifty	=spendthrift
condescension	硬要人家领情的态度
floatable	可航行
nock	作凹痕于
environmentology	环境问题研究
riverboat	内河船
animate	生气勃勃的
phare	=pharos
unclinch	松开
separate	分别
unpeel	削……的皮
tallyho	四匹马拉的马车
upriver	向水源的
wheezily	气喘
jekyll	哲基尔医生
montane	山区
tease	欺负
complete	使完善
unbred	粗鲁
interestingly	有趣
immunoreactive	免疫反应性
cruiserweight	轻重量级拳击手
morally	精神上
unfitting	不适当的
permanently	不变
nonideal	非理想的
antivirus	抗病毒液
crape	黑绉绸
dolichocranic	长颅的
sandglass	沙漏
lollipop	棒棒糖
flexography	苯胺印刷
exogenous	外因的
otiose	怠惰的
magnetooptical	磁场对光线的影响
cep	Error
trivialize	使平凡
balaustine	野石榴
petrosal	岩石般的
entelechy	生命的原理
succinctly	简洁地
proviso	限制性条款
impertinently	不礼貌
barred	隔绝的
apocrine	泌离
devilkin	小鬼
rataplan	击鼓
lie	位于
shall	会
peachick	孔雀的雏鸟
flunk	考试不及格
aggressively	侵略
uredinium	夏孢子堆
viole	的复数
connect	连接
dockmaster	码头负责人
diffusedness	散布
smsa	大城市及其郊区
consonance	调和
inoculation	接种
imperturbed	神色自若的
pst	Time
blae	深蓝色
fullmouthed	声音响亮的
shrunken	缩小的
antemeridiem	午前
fubsy	矮胖
gonogenesis	配体发生
teleologic	目的论
soul	心灵
sciomancy	鬼魂占卜
salat	礼拜
mouthwash	嗽口水
defectology	缺损学
monachism	出家生活
oblivion	遗忘
elasticity	弹性
hob	铁架
edi	电子数据交换
balzacian	巴尔扎克
jimp	苗条的
notion	小饰物
spirality	螺旋形
inosculate	使连接
cobbly	畸岖
nlaa	Aid
heterogeneous	异类
fmi	International
epitope	抗原决定基
kurgan	坟墩
panivorous	食面包的
mongolism	先天愚型病
descriptive	描述
piracy	盗版
neutral	齿轮的空档
restively	难以驾御地
sherlock	私家侦探
moralistic	说教
conquest	征服
radiochromatogram	放射色谱图
suckle	哺乳
minischool	专科实验学校
abbot	修道士的总称
adscription	归属
opposeless	无可反驳
mlg	Low
lophodont	脊齿型的
gwtw	the
cockish	傲慢的
scent	循着遗臭追踪
tumid	肿大
eton	伊顿
japer	开玩笑的人
conclusion	缔结
crisscross	十字形
euphotic	透光层的
usafe	Europe
simple	无经验的
lunatic	极端愚蠢的
subindex	次标
depart	不按照
petty	小
kilpatrick	基尔帕特里克
prehension	理解
infirmarian	看护病人者
surge	澎湃
partner	做伙伴
ratbite	fever鼠咬热
loudly	响亮地
archival	关于档案
sarcomere	肌小节
dependability	可信任
incertitude	不肯定
kgps	per
monetization	当作货币
profluent	涌流
netsuke	悬锤
assimilatory	同化
testing	试验
pitiably	可怜
seismometry	测震学
naysay	拒绝
indicial	表示的
sizable	大小相当
airbus	空中巴士
dippy	脑筋不正常的
spa	矿泉疗养
brcs	Society英国红十字会
datagram'	NULL)
clique	私党
antalgic	镇痛的
stilly	静静
place	放置
colacobiosis	寄生
jerquer	水上稽查员
entomologic	昆虫学
quip	说托辞
cornucopia	满装花果象征丰饶的羊角
postharvest	收割期后
essie	埃西
tuscarora	塔斯卡洛拉人
echopraxis	模仿动作
annette	安妮特
filature	螺丝机
esl	second
scoticise	=Scoticize
tray	盘
finlandization	芬兰化
homogenization	匀化
haida	海达族人
atomic	微粒子
fatuous	发呆的
atherosclerotic	动脉粥样硬化的
tif	标记位图文件格式
scorbutic	患坏血病的
fran	弗兰
exsanguine	失血的
cuspy	整洁的
jubilant	喜洋洋的
imine	亚胺
banter	善意的与人开玩笑
civil	有礼貌的
printing	印刷术
tactual	触觉
adieux	告别
penile	影响阴茎的
careen	倾
gina	吉娜
timing	定时
trisection	三分
etesian	每年发生的
hefa	Education
pentomino	五格拼板
criminal	犯罪者
slavish	专横的
nop	除非另有规定
rics	Chartered
weight	重累
martyrologist	殉教者传记作者
pathetically	可怜
majestical	庄严
putsch	起义
inflictable	可科
mephitis	有害臭气
sputter	飞溅出
stereography	立体平画法
yawing	盘旋
uncustomed	未经海关通过
creditable	可信
grandeur	伟大
sweety	糖果
estrepe	做不必要的破坏
incapable	无能力
mbfr	Reductions
candlepower	烛光
cribrose	有小孔的
exsection	根除
suspensive	暂停
epipteric	翼上的
jcb	作业控制块
stand	架子
bosh	胡说
oftentimes	时常地
shakeable	=shakable
kibe	冻疮
straight	整齐的
offering	祭品
ecotone	群落交错区
patroon	在纽约州和新泽西州的大庄园主
generalization	一般化
nundinal	市集
swift	敏捷
abbot	修道院
polysaccharid	聚糖
immanency	内在
florid	炫耀
profitably	有益
imp	加强
someway	以某种方法
solifluxion	泥流
clottish	愚蠢的
button	扣紧
polygala	=milkwort
subterminal	接近端点
debarkation	下船
crombec	非洲短尾小莺
dyeline	重氮法复印品
vibropack	振动子换流器
yarak	良好飞行状态
umt	Universal
felonious	极恶的
lemming	旅鼠
succous	体液
palk	Strait保克海峡
oleiferous	产油
morale	士气
rarebit	欧洲种的兔子
drudgery	苦差事
lapidification	石化
species	圣餐物
contractive	收缩
nubile	适婚
pleurisy	胸膜炎
permanency	永存
hypochondriacal	过分担心自己健康的
multipartite	多国参加
mononucleosis	单核细胞增多症
conservatory	温室
bats	神经不正常
citrous	柑橘属植物的
pemmican	要旨
leak	漏出物
expiable	可赎的
enterology	肠病学
airliner	定期班机
juvenscence	年轻
offenceful	有罪
sessional	开会
put	表达
fib	小谎
kelleg	应急锚
crinite	有发状尾的
heterogeny	无生源说
eclectically	折衷地
osp	Optical
westbound	向西进行的
ensilage	保藏于地窖
saccharometer	糖溶液比重计
futz	闲荡
atrocity	暴行
forced	被迫
diaphanous	精致的
barometric	大气压力
unpitiful	无恻隐之心的
mileage	英里里程
rancidly	令人作呕地
tetranitromethane	四硝基甲烷
scotice	=scottice
essential	要素
disabuse	释疑
mayan	玛雅语的
scoffingly	带冷笑
wave	摇动
exponential	指数的
sensitive	敏感的
excelsior	精益求精
rio	Object
woolpack	羊毛打包布
overdaring	鲁莽
filibuster	海盗
predictable	可预言
overripe	衰败
hyacinthine	风信子色的
oneiric	梦的
acoustic	有关声音
edacity	贪婪
rimal	细长之口的
boondocks	偏僻地区
irrespective	不考虑
irreproducible	不能再现
muzzy	头脑发昏
stemma	家系
disintoxicate	为……解酒
superduty	超级耐高温
riot	放荡
halfheartedly	不认真地
shebang	陋屋
wgmc	Germanic
juggle	诓骗
leprosy	腐败
falteringly	口吃
clinging	有粘性
engagement	诺言
prescience	先见
reecho	使回响
gibberellin	赤霉素
cadential	节奏的
roucou	=annatto
harmonization	一致
tony	时髦的
winnow	飞行
decayed	烂了
mbini	姆比尼
ssfdc	Disk
lactamase	内酰胺酶
misanthropic	憎恶世人
briefing	简报
zen	禅
incalculability	无数
misappropriate	盗用
yirr	狂吠
phototheodolite	摄影经纬仪
diphonemic	双音位
snorty	令人讨厌的
explicative	阐明的
biogasification	生物气制造
uat	Union
antipathy	憎恶
fluoroscopist	使用者
closet	关起门来的
keelage	停泊税
polygamous	一夫多妻
cautelous	小心
wrong	错误的
yielder	让步者
ruelle	窄小的街道
invert	颠倒的事物
telegrapher	电报员
autoeroticism	自我淫荡
microvascular	微脉管的
oxhide	牛皮
chaeta	刺
bombinate	发嗡嗡声
yowl	号叫
teasy	爱戏弄人的
ceresine	地蜡
dart	标枪
attackman	攻手
impervious	密封
brahmapootra	婆罗吸摩鸡
sierran	锯齿山脊
scout	侦察
dm	Data
ulm	乌尔姆
bum	游荡者
idiomatically	惯用
sniffable	可嗅
irc	Internet在线聊天系统
unicursal	一笔画
actionless	不采取行动
harmoniously	和谐地
accostable	易接近的
billiard	台球的
brokenhearted	心碎
septillion	百万的七乘方
smaragd	纯绿柱石
acgb	Great
lignification	木质化
reliction	新生
neotropical	新热带区的
semidiurnal	12小时
phenacetine	乙酰对氨苯乙醚
silvicolous	森林中生长的
boding	先兆的
unmeaningful	无
equipment	装置
afoul	冲突
muonic	μ子
dot	在……上打点
radiate	有射线的
chacma	大狒狒
manx	马恩岛人的
anacoluthia	破格文体
insensitive	对……没有感觉的
strategetic	=strategic
impayable	极好
urography	尿路造影术
snakestone	菊石
thrasonical	自夸
whisk	搅拌
bacchae	酒神Bacchus之女性崇拜者或女祭司
shellback	老水手
iconological	偶像学的
derelict	被抛弃了的
goatskin	山羊皮
hopelessly	绝望
scraping	挖
person	容貌
scaremonger	扰乱社会民心的人
heroin	吗啡
briny	咸的
ungrammatical	非文法
flask	小水瓶
cacography	拼写错误
insupportably	忍耐不住
censorial	监察的
calking	填空隙
flyaway	轻浮的人
perfusion	充满
lusterless	没有光泽的
teazle	起绒机起毛器
niobic	含铌的
tolyl	甲苯基
marinera	马利内勒舞
fluty	似笛声
garnishment	添饰
underhung	轨上的
visakhapatnam	维萨卡帕特南
examinatorial	检查的
libidinous	淫荡的
lacerta	蝎虎星座
crunode	结点
barge	闯入
druggist	药剂师
backslide	倒退
lowish	小声的
niftic	俏皮的
onstage	台上演出的
intracardial	心脏内的
seriatim	逐一
cense	用香熏
interpolated	以内插值替换的
milanese	米兰的
iscariot	出卖耶稣的犹太之姓
wfd	Federation
travertin	石灰华
homopolymer	均聚物
bullpen	大房间
subastral	天空下的
illegal	不合规定的
refractory	难控制
xerosis	干燥病
gracefully	温文
nonchalant	冷淡
meniscoid	凹凸的
saltatory	跳跃
divisional	部门所有
inswept	尖端狭窄的
hopeless	没有希望的
orographical	=orographic
vanguard	先锋
lumping	重大的
exercitorial	包船的
slightly	苗条
factorize	分解为因数
vomit	大量喷出
instability	不稳定
spd	即DIMM印刷板上一块容量为2048bit的EPROM
rascaldom	无赖
maidstone	梅德斯通
tern	三个一组
salometer	=salinometer
liege	君臣关系的
interlocutor	对话者
lean	偏向
jerk	急推
nisi	非绝对的
fission	裂开
mean	想要
abstemiously	适度
offshoot	分支
sheathy	合身的
flowing	平滑的
avengingly	报仇地
gallinaceous	鸡
coziness	畅快
probably	大概
thermoform	加热成形
unbacked	无靠背的
subharmonic	分谐波
diphonemic	双音位的
preemptive	有强制收购权的
paraleipomena	=paralipomena
dysteleologist	生活或自然之漫无目标
bodiless	无体
kiddle	鱼簖
popularizer	大众化的人
explainable	可解说
heimisch	不拘礼节
extended	广大的
bask	晒太阳
paintbrush	画笔
padang	球场
interlacustrine	位于湖泊间
weasel	狡辩
fulgurite	闪电
embody	具体表达
acquiescent	默从的
romanic	拉丁系语言
assess	估定
waveless	无波
pendent	未定的
mobot	移动式机器人
rendering	描写
gambe	=gamb
neimenggu	内蒙古
rightly	端正地
roily	生气的
telescopically	望远镜地
macadam	碎石路
unrelatable	无关联的
warp	使有偏见
cragged	岩多的
cpc	of
hypoplasia	细胞减生
compassable	可达成的
infibulate	扣住
consuetudinary	惯例上
blindstory	无窗之楼
appassionata	热情
mutt	笨蛋
plica	纠发病
vaccine	疫苗
disquiet	使忧虑
piggyback	在背上
another	又一
roguish	流氓的
fishline	钓丝
opponent	对手
mobility	迁移率
agrin	微笑地
service	耐用
collodionize	以火棉胶处理
manteau	斗蓬
cardiotonic	强心
materialist	唯物主义者
hardy	勇敢
fiddle	瞎搞
morphotectonics	构造地貌特征
creepy	皮肤上有足爬似
tungstous	低价钨的
levis	牌牛仔裤
leisure	安逸
sacred	宗教的
odograph	里程表
videography	电视录像制作
bookmaking	编辑
ble	Engineers
gearing	传动装置
mhc	histocompatibility
outcaste	贱民
inshore	近海岸的
serenely	安详地
saudi	沙特阿拉伯人的
barren	贫瘠
seafloor	海底
expressionist	表现派作家
indicate	预示
phonetic	表示语音的
through	直达
reactively	反应性地
dazzling	眼花缭乱
nesslerize	进行比色处理
adversative	意义相反
gambit	以优势的开局棋法
antwerp	安特卫普
useless	无效的
beak	鸟嘴
unusual	不平常
averseness	反对
kenyan	肯尼亚共和国的
hibernant	冬眠的动物
dirtily	下贱地
smooth	安祥
menservants	manservant
signal	信号
unforensic	不适于公开辩论的
seaworthiness	适航行
wtc	Center
infuse	沏或泡
yosemite	=Yosemite
recommendation	推荐
dictaphone	录音机
unwarrantable	不允许的
unselective	没有选择力
unassimilable	不可吸收的
lassen	Mount=Lassen
iso	国际标准化组织
flapjack	大薄煎饼
thowless	呆滞的
decametre	十米
zeuxis	宙克西斯
livable	可住的
galess	不易生气
sonolyse	=sonolyze
amate	使懊恼
yard	码
deplorably	悲惨
dole	发放救济
seducible	容易受人诱惑
vulture	秃鹰
coop	鸡
xing	美国出品视频播放软件的公司
awake	唤醒
basilisk	蜥蜴状妖怪
talky	说话过多的
block	滑轮
manageable	易管理的
tzarevitch	=czarevitch
dankish	阴湿的
lentic	生活于静水中的
reg	注册表信息文件
exponential	幂数的
carnal	肉欲的
dishwater	洗碟的水
unprohibited	未阻止
radicalization	激进
informant	通知的人
transworld	遍及全球
bicentric	二中心
asafoetida	阿魏
pollard	角被割下的动物
spiritist	关亡人
moskva	=Moscow
narcotic	麻醉
brushed	拉过绒
deforestation	采伐森林
frowardly	顽固地
mesmeric	催眠术的
myotropic	侵袭肌肉的
serranid	鮨
vexation	烦恼
ruling	支配
atherosclerotic	动脉粥样硬化
underpinning	支撑
sixfold	六重的
confect	糖果
puritanize	举止严谨
christabel	克丽斯特贝尔
pococurantism	冷淡
gallantly	勇敢
lover	爱人
labour	费力地前进
lestobiotic	窃食共生
epifauna	底上动物
corporate	全体
compressive	有压缩力的
brunet	深色的
rictal	露齿裂嘴的
nescient	无知的
noumenally	本体
sink	接收器
nonproliferation	防止扩散
confucian	孔子
parasitic	寄生
mitigatory	平静
agroindustrial	农业的和工业的
feticidal	堕胎的
marketstead	=marketplace
microsome	微粒体
mound	积成堆
heater	加热器
integrated	完整的
equality	等式
advocatory	有关拥护者
romanticist	浪漫主义者
orientalist	东方学者
twelvepenny	值12便士的
nailless	没有指甲
fearless	大胆
ribbonfish	细长的带状鱼类之总称
phenylbutazone	苯基丁氮酮
equanimously	镇定地
reputably	好评
frounce	卷缩
coexist	共存
hedonic	享乐
saltpetre	硝酸钠
cavate	挖空岩石而形成
back	早过去的
shrinkproof	防缩
living	生活
narrow	隘路
immediate	紧接的
epicritic	精细觉的
penstock	水道
existent	生存的
resupinate	向上翻转
encyclopedize	按百科全书式排列
fabian	费边式
slouchy	懒散
carshalton	卡苏顿
princelet	=princeling
participation	分享
rabbitry	养兔业
varnish	凡立水
thundering	异乎寻常的
maladaptive	不利于适应的
seminiferous	产生种子
swad	一束
gibing	嘲弄的
supportably	可支持
tangent	离题的
another	另一个
southwardly	往南地
dissolving	毁灭性的
like	相似的
systemic	系统的
maternity	产妇的
gummous	由树胶构成的
goup	粘稠液体
refute	反驳
stilt	高跷
snoop	偷窃
ionic	爱奥尼亚式
damningness	定罪
collyrium	洗眼剂
surd	清音
spermous	精子的
haytian	海
nonmiscibility	不易混合
matted	有席子的
redigest	再消化
tableful	一桌人
fend	挡开
moonshine	空谈
judas	犹大
gulfy	遍布裂口的
headliner	写标题的记者
hackle	梳理
quaere	问题
phyllostome	叶鼻蝠
qos	Quality
calyceal	萼
opportunity	机会
paraprotein	病变蛋白
fibulae	扣针
scourings	擦下的污垢
drome	飞机场
denture	一副假牙
dichlorvos	敌敌畏
function	行使职责
chiaroscuro	明暗的配合
disquisitive	探讨的
jiminy	感动
unpretending	质朴
funny	古怪的
garibaldi	宽大衬衫
papertrain	训练在纸上大小便
prejudiced	怀偏见的
lacombe	拉康姆猪
annulate	由环组成的
mdram	多段DRAM
geta	日本式木屐
cockneydom	伦敦人
legumen	豆
folliculin	经酮
identifiers	标识符
understandable	可懂的
bath	沐浴
hypogenous	下生的
raughty	痛快
sawdust	锯屑
cullion	痞子
practically	简直
tiptop	极好的
evictee	被逐出的人
arillus	一层假种皮
unsuccessful	不成功的
gutty	有勇气的
multicentric	影响多中心
sapient	聪明
branchial	鳃的
lantern	提灯
tooler	阔凿
refrigeration	致冷
delphi	希腊古都
wrapper	书皮
diascope	反射幻灯机
okay	认可
dep	就业和生产率部
pfda	Food
vauntingly	傲慢地
lurch	倾斜
amphiphyte	两栖植物
madden	发狂
vocable	词
lawbreaking	违反法律的
paddywhack	爱尔兰人
sanitation	卫生
polycistronic	多顺反子性
pajamas	宽长裤
gemmer	开采宝石者
mustard	芥子气
farinose	生淀粉
extrados	拱背
colourfast	不掉色的
leafy	叶状的
stag	全是男人的
boatable	小船可通行的
sawan	印度历的5月
laparoscope	腹腔镜
unthought	未深思
aps	高级相片系统
waterfowl	水禽
nonfarm	与农场无关的
runtishly	发育不良
somber	阴森
mucic	黏液的
subaerial	接近地面
erberry	接骨木
annihilable	可消灭
cursely	该被诅咒
sing	唱
responsory	唱和
fencing	栅栏
subeconomic	缺乏经济意义的
redevelop	恢复经济发展
uaw	United
multifoil	繁叶饰
leak	漏洞
palmated	有蹼的
ucla	加利福尼亚大学洛杉矶分校
lambent	闪烁
idiogram	染色体模式图
upstage	自负的
osteometrical	骨测量法的
capriccio	狂想曲
sakti	=Shakti
ornate	装饰
clasp	密切合作
gory	满是血的
animist	万物有灵论者
luminism	光色主义
fluidity	流动性
bizzard	大风雪
supermanly	超人特有
manille	=manilla
padlock	挂锁
immolate	牺牲
infarction	梗塞形成
espantoon	警棍
penitential	苦行赎罪
stuffless	无实质性东西
sequential	结果的
slimsy	不耐穿
unexhausted	未尽
gravidity	怀孕
pithecanthrope	猿人
jawlike	像下巴的
splenectomize	切除……的脾
inalterable	不变的
barbacue	烧烤
expugnable	可突击
teeny	极微
orient	灿烂
pudicity	贞洁
rosily	乐观地
missable	可能打不进穴的
collaborate	通敌
saiga	高鼻羚羊
acceptance	容忍
superchurch	超级教会
jaundiced	敌视
algometrical	痛觉测验计
interspinous	椎间的
evulse	拔出
lucubrate	用功
postbellum	美国南北战争后
goaty	山羊似的
explicitly	明确
print	版
allay	减轻
incautiously	鲁莽地
man	在……就位
oolith	鲕粒
supersaturate	使过度饱和
condolence	吊唁
derisively	嘲笑
struggle	竞争
short	短的
uncatchable	捉摸不住
alluvia	alluvium
exterior	外交的
inchoative	开始
pathlet	小路
nuclein	核素
huckster	小贩
sideward	旁边的
mediator	调停者
bluebottle	矢车菊
decorously	有礼貌
spiffing	出色
laird	领主
plebs	庶民
mariner	水手
double	双精度型
lawmonger	讼棍
semibold	半粗体的
blat	喋喋不休
centerboard	活动船板
girlygirly	娇气十足的
dubitative	半信半疑的
hearsay	道听途说
latish	稍迟
alternately	隔一个地
fastidious	挑剔
yi	彝人
jointure	由妻继承的遗产
usga	美国高尔夫球协会
veritably	真实
irrigate	冲洗伤口
ungular	爪
trench	管沟
arbitrament	裁判
sulfa	磺胺药剂
grainfield	谷物用地
varicosity	精索
bernadette	伯纳黛特
pneumatology	气体学
briticism	英国英语
inertialess	无惯性
speciously	外观好看地
backstairs	厨房门
iniquitously	不正
effluvial	恶臭
scaling	缩放比例
scissorsbill	下等人
habitual	习惯的
downhill	倾斜
inflammation	发炎
rigescent	生硬的
electrolier	电灯架
follow	追求
upslope	上坡
adsum	有
dipsy	深海
unfrock	解除僧职
kite	骗钱
intersect	横断
perfect	使完美
hyperboloidal	北极的
yellows	枯黄病
ferromagnetic	铁磁体
emblematise	=emblematize
pantomorphic	呈所有各种形状的
pacesetting	带头
aboveground	未被埋葬
maltreat	虐待
assuagement	缓和
hydrocracking	氢化裂解
roily	动荡的
predestinarian	命运注定
underside	内面
carronade	大口径短炮
patripotestal	以父系亲属委员会为权威
bob	上下或来回的动
oligosaccharide	低聚糖
jangle	刺耳响
suggestive	暗示
potassic	含钾的
bromize	溴化
jackfruit	木菠萝
hostage	人质
titubate	蹒跚
varvel	奇异之事
cautioner	警告者
erectly	直立
rude	粗鲁
ostend	奥斯坦德
qbe	query
enkindle	使燃烧
anticyclone	高气压
cissoid	凹边
coadjustment	相互调节
sausage	香肠
borneol	龙脑
voluminal	体积
partialness	部分的
triennially	每三年地
succedent	随后的
rubricate	加以红字标题
wartime	战时
unture	不忠实
unjelled	不固定的
ideographic	表意的
vacuous	空洞
unexcited	镇静的
serration	锯齿状突起
loxodromics	斜航法
kabele	=kabele
equability	无变动
koei	日本光荣公司
projectionist	电影放映员
footling	微不足道的
glowing	炽热
lamellirostral	扁嘴类
anthobian	食花的甲虫
ventage	空气孔
sidelight	侧灯
nyc	City
waste	垃圾
iconodulic	崇拜偶像
battlesome	好斗
vasectomize	给……施行输精管切除术
underestimate	看轻
cryptomeria	日本柳杉
pineland	松林地
ratcatcher	捕鼠者
peritricha	周毛菌
republican	共和党人
undro	Disaster
trotter	快跑的马
prefect	长官
