saltimbocca	意式煎小牛肉火腿卷
immortalize	使不灭
longing	渴望
aero	飞机
somasteroid	体海星亚纲
vitriolize	使硫酸化
senti	分
violescent	带紫罗兰色
minor	次要的
ethylamine	乙胺
adult	成熟的
reconcilability	可调和性
spieler	招揽顾客者
waggish	滑稽的
asphyxiate	窒息
zoomy	利用促镜拍摄的
demonography	魔鬼学
dpt	白喉、百日咳、破伤风混合疫苗
patter	行话
translatory	平移
uncorrected	未修正
jinx	白虎星
awshucks	质朴无华
lamellicorn	鳃角类的
dubitative	怀疑的
pekoe	香红茶
absently	心不在焉
gurgle	作汩汩声
subaltern	副
japanning	涂漆
inevitable	不可避免
morbidezza	柔美
eyeglass	镜片
republican	共和国的
potatory	耽于饮酒的
nonuple	九个一组的
witchman	巫医
insalubrious	有害
newshound	新闻记者
enchondrosis	软骨瘤
mannheim	曼海姆
whelp	下崽
elfin	矮人
rct	皇家运输部队
globoid	略成球状
semimythical	半神话
nauseated	作呕
conferva	丝状绿藻
causal	表示原因或理由的
reefer	双排扣水手上衣
liberalism	自由主义
exenteration	剜出内容物
cucumiform	黄瓜状的
skice	疾行
bassinet	摇篮
regret	为……感到遗憾
waterfall	瀑布似的东西
nowise	决不
absorbedly	专心致志
nowanights	在当今的夜晚
revise	修正
infighting	暗斗
urinoscopy	=uroscopy
proctorship	代理人之职
flyspeck	污点
worthy	相称
bezazz	劲头
uxoriously	顺从妻子地
crackjaw	反常
hospltaler	=hospitaller
uncloister	使离开隐居生活
petty	卑鄙
handoff	手递手传球
grand	主要
karman	catheter
alabaster	雪花石膏
seel	用线缝
valerianic	=valeric
yellowtop	紫莞科植物
arithmetically	算术上
cissoidal	凹边
parmigiano	撒有帕尔马干酪的
willinghearted	十分情愿
sprightly	轻快
prophetic	预言
strange	前所未知
drogher	西印度群岛的一种沿岸航行的笨重而缓慢的小帆船
reprobance	=reprobation
significant	有意义的
delinquent	有过失的
cremationist	火葬论者
maturity	到期
cbc	Corporation
burgrave	贵族
brotherliness	兄弟的情谊
coastward	朝着海岸地
illusively	幻影地
quadricycle	四轮
feldspathose	长石质的
roughwrought	经粗加工
shackle	加枷锁
laparotomize	为……开腹
exotoxic	外泌毒
assumptive	傲慢
picketboat	当值艇
dismayful	令人丧胆
emblematic	象征
tuckshop	学校内的糖果店
dodgy	躲闪的
zoomorphize	兽形化
worshipful	可敬
claudication	跛行
gaelic	盖尔语
detrusion	推出
martial	军事的
other	不同地
choosey	慎重选择的
absorbingly	非常有趣地
hypoxemic	血氧不足的
probate	加以监护
cargo	货物
unascertainable	无法查明的
daunomycin	柔毛霉素
squadron	把……编成中队
wave	波浪
excavate	挖出
vexatious	伤脑筋的
aymaran	艾马拉语
ultrarightist	极右的
californian	加利福尼亚州人
rarp	逆向地址解析协议
ruthful	充满感伤
interlaced	交错的
monocoque	单体横造
ducky	可喜
pharmacopsychosis	药物性精神病
carmelite	Carmel
exclamatory	叫喊
incautiously	鲁莽
zodiac	十二宫图
proudly	骄傲地
indescribable	难以形容的
pancreas	胰腺
amorism	谈情说爱
suspensive	悬念
gasolene	汽油
porker	食用猪
faitour	骗子
conch	贝壳
radular	齿舌
glace	冰冻
dynamic	动态
pasteurism	巴氏灭菌法
constancy	不屈不挠
bumble	弄糟
cognate	同词源的
extended	扩大范围
duh	咄
taxpaying	纳税
social	社交
xylometer	木材比重计
liquorice	甘草根
existence	实在物
caboose	轮船上的厨房
floweriness	绚丽
inhumorous	不幽默
preestablish	预先制定
bacteriuria	菌尿症
forrel	做书皮用的羊皮纸
salicylaldehyde	水杨醛
benevolently	仁慈
corrosible	会腐蚀
inextricably	解决不了
stilly	寂静的
lay	下蛋
neurogenic	神经性的
rosenhahnite	罗水硅钙石
unsuccessful	失败
eduction	引出物
cheer	愉快
carom	连撞两球
goosey	笨蛋
lingo	方言
beady	有泡
trainable	可教育
chromogenic	发色体
encephalograph	大脑
monologist	自言自语者
gesture	以手势表示
nitrogenous	氮的
pure	抽象的
feelingless	无感觉的
exophthalmic	突眼的
acgb	大不列颠艺术委员会
estanciero	农场主人
pit	深渊
rumor	传闻
poorboy	罗纹紧身运动衫
unfrock	剥去法衣
khmer	高棉语
extrabold	特黑体字
cmd	Device
selah	西拉
mustardy	有芥末味的
rallyingly	嘲笑地
printless	无印痕
undignify	使丧失尊严
emptysis	咯血
chrism	圣油仪式
flagellate	鞭毛虫
simulant	拟态的
octillion	千的十六次方
hydrogenize	使与氢化合
subsection	小单位
chanticleer	公鸡
pomfret	鲳鱼
mediagenic	所喜闻乐见的
hermetical	密封
valkyrie	瓦尔基里
hypotensive	低血压的
ecogeographical	生态地理的
nessie	尼斯湖水怪
subsumption	包容
sulfathiazole	磺胺塞唑
nyasa	尼亚萨湖
braciola	酒烩肉卷
oniony	洋葱臭味
worshipful	可贵的
dioestrum	间情期
underemphasize	对……强调不够
painful	疼痛
spake	speak的过去式
fearsome	可怕
superaerodynamics	稀薄气体动力学
incontinent	不能自制
neutralisation	中和
twig	嫩枝
attempt	企图
calathiform	杯状的
gobemouche	轻易听信的人
irresolution	不决断
convoke	召集
amusedly	好玩地
aauw	of
amyloid	淀粉质的
ablate	融化
skint	身无分文的
obsequious	谄媚的
iou	I
cryptanalyst	密码破译者
polysemy	意义的分歧
col	关口
leukodermal	白变病
gulf	吞没
anaplastic	整形术
epicenter	中心
gambrel	复斜屋顶
deadbeat	赖债不还的人
starchy	拘泥
zooty	华丽的
blinking	一眨眼
incentive	动机
entrance	进入
catfacing	表面所呈现的凹凸
funnelled	漏斗状的
decoy	圈套
anilinctus	吻肛
whaup	=curlew
pollen	花粉
portreeve	市镇治安长官
politer	有礼貌
mavis	画眉鸟类
bestowal	赠与
aggrieve	令委屈
impregnate	使受精
ushership	职位
climactic	高潮
religionary	涉及宗教
cathedra	讲座
conrail	联铁
dic	Domain
vegetative	有生长力的
dqdb	Queue
decagynous	具十花柱
polyglot	用通晓数种语言记载的书
implosive	内破裂形成的
enormous	庞大的
soupiness	伤感
areaway	地下室前的空地
parget	灰泥
testamentary	据遗嘱的
aps	American
declivous	向下倾斜的
uncharted	海图上未标明
inseverably	不可切断
college	大学
indubitable	明白的
homophonous	同音
cromerian	克劳默文化
airspace	编队飞行所占用的空间
sloughy	腐肉
laingian	兰恩的
stormy	有暴风雨的
oofy	富有的
flanger	除雪器
square	四方的
rabid	患有狂犬病的
hollywoodize	使好莱坞化
lightwave	光波
rowen	割除后再生之草
jug	监牢
ancilla	女仆人
croupy	格鲁布性的
fuck	杂种
sudorific	发汗的
aero	飞行
unreflecting	不反射的
pithless	无力
sulphonate	磺酸盐
reliquary	圣物箱
torpidness	不活泼
fictile	可塑造性的
hoggery	猪一样的贪娈行为
wabbly	摆动
nous	心灵
iii	3
pigheaded	顽固
jupe	胸衣
angelic	天使
bladdernut	省沽油的荚果
haemolyse	=haemolyze
scr	Car
callithumpian	吹吹打打吵闹杂乱的街头游行的
unequable	不稳定的
psychiatric	精神病治疗
sellable	=salable
featherlight	轻如羽毛的
arthrodia	摩动关节
fascinating	迷人的
outside	出界
vaporous	蒸气多的
crip	瘸子
coralline	珊瑚状构造
reafforestation	重新植林
severalty	各有各事
oracle	神谕
rickshaw	黄包车
apocryphal	假冒的
hick	乡下人
lovell	洛弗尔
overparted	演过多个角色
inconsonance	不协和
edb	ethylene
felonious	恶毒的
indignantly	愤怒地
mother	妈妈
lorn	孤单
assuringly	确实
carpolite	石子
execratively	憎恶地
infector	传染者
compressure	压缩
attune	调音
medially	平均
disposed	有某种健康状态
crossgrained	固执的
humpback	驼背
finical	过分周到的
vop	in
neocosmic	新宇宙的
equality	平等
marlin	青枪鱼
unmeaning	索然无味
jus	法
slack	漏水的
curlicue	花饰
foreworld	洪荒世界
waywardness	不稳定
http	Transfer
misdemean	行为不正
anomalous	不规则
cumin	孜然芹果
explosible	可爆炸
bigoted	顽固的
registered	已登记的
unstatutable	非法定的
tramroad	矿车轨道
bellmouthed	承口的
newsletter	时事通讯
straight	率直
svelte	体态娇美的
ranine	舌尖以下部份
associate	交往
presentence	宣判前
wrong	错误
badmash	恶汉
cyclopedic	百科辞典
discontinuous	间断
liking	爱好
policymaker	决策人
tough	粗暴的
salut	祝你健康
cabasset	十六
exchequer	财物署
eloquently	善辩
trachyte	粗面岩
vile	可憎的
hmas	Australian
pale	尖板条
pelletize	使成颗粒状
governmentese	官话
veto	禁止
supplejack	阿拉巴马句儿茶
homecoming	回国
gradualness	渐次的
surat	印度苏拉特产的劣质棉布
sinful	罪孽深重
sned	修剪
lentiginous	有斑点的
spumone	一种意大利式冰淇淋
defeasible	可废止的
outline	略图
subplot	陪衬情节
amethystine	紫色的
languorously	郁闷
vdt	视频显示终端
fibrillated	=fibrillate
winebag	酒鬼
gaelic	盖尔人的
grits	粗燕麦粉
revival	复苏
oldwomanish	谨小慎微
superficially	浅薄
bardolino	巴多利诺酒
clinquant	金光闪闪的
incumbency	任职
provincial	省
flacon	有塞小瓶
protamin	精蛋白
gourdful	一瓢的量
dextrorotary	=dextrorotatory
cardiometer	心力测量器
micropolis	小型城市
transworld	世界范围的
sparaxis	裂缘莲
redivivus	再现
last	临终的
hall	走廊
intangibly	无形地
infertile	不毛
circumfluent	环流的
weightiness	重要性
summiteer	最高级会议参加者
agro	=aggro
wake	叫醒
wise	慎虑
misogynous	厌恶女人
hemicyclium	半日规
laos	老挝国
stere	立方米
idiosyncratic	特殊
acadian	阿卡迪亚
suricate	沼狸
do	尽力
pulsimeter	脉搏计
winterclad	穿冬装
distensile	会扩张的
anathematically	厌恶地
masty	不易解决的
asynchronism	异步
nebulated	朦胧
felloe	圈轮
pert	辛辣的
quadrate	使一致
designee	被任命者
simulacrum	幻影
sialogogue	=sialagogue
flare	突然烧起来
carrion	似腐肉
emphasis	重点
rsd	Society
baywreath	月桂冠
lawmaking	立法
curitiba	库里提巴
skimmer	撇乳器
waxy	生气
kgb	Komitet
hughie	雨神
dot	圆点
sidearm	侧投球的
protostellar	形成恒星
glittery	闪烁的
synkaryon	结合核
differentiable	可辨的
scenarist	编剧家
sensualism	感觉论
muzzle	钳制言论的手段
foregone	预知
listed	列出的
skimo	n
ashes	骨灰
sec	大臣
distraction	娱乐
leftish	左派的
panther	黑豹
urinant	头朝下
dimidiation	分为两半
setiform	刚毛状的
layoff	临时解雇
fend	力争
intracranial	头颅内
handworked	手工
forward	迅速
suborning	贿赂
redevelop	重点恢复
dodgy	会推托
cissoidal	凹边的
impoverish	使贫穷
irritative	刺激的
georgic	田园诗
featheredged	薄边
succinct	简洁的
extradition	引渡
slingman	投石手
mingily	小气
dab	轻敷
opaque	不透明物
mertensian	无毒拟态
lcp	Personnel
mezzorelievo	半浮雕
sudorific	发汗药
wavelength	波长
salient	突出
despotic	暴虐的
teletype	电报交换机
switchpoint	开关点
decoct	煎
hum	哼
assumingly	傲慢
ebu	European
barring	除非
afar	遥远地
rateable	按比例的
strewment	撒
volte	回
curacoa	柑香酒
unenlightened	无偏见的
dubitable	可疑
neologism	新语
rescinnamine	抗高血压剂
allpowerful	有无上权力的
guardship	守卫船
scud	迅速地移动或奔跑
assumpsit	损害赔偿之诉
apogeotropic	负向
skilful	技术好
biretta	四角帽
inauthentic	不真实的
ninepence	九便士
patchouli	广藿香
headfast	艏系索
subdean	副助理监督
weakly	虚弱地
tex	exchange
trendily	时髦
ruggedly	险峻
unwilled	无意的
start	动身
knuckle	关节
separate	分开的
iata	Transport
pensionable	有资格领退休金
obumbrant	悬垂
wreath	花圈
magdalene	从良的妓女
wolflike	狼似的
andantino	微急的
coextend	共同扩张
poise	平衡
absolute	绝对
parlous	非常
unbitter	没有仇恨的
duskily	微暗地
advices	报道
ingenuously	率直地
gynarchy	女人政治
literature	著作
sweltering	闷热
delomorphic	显形
riddling	筛选
lineskipper	插队的人
urbanise	使都市化
hydroa	水疱
faculative	容许的
ip	Protocol
ast	Army
curtilage	宅地
progestin	孕酮
tinclad	轻装甲炮艇
lunger	肺结核患者
channel	开导
decline	衰落
indirect	迂回
prejudgement	在审判前判决
gollywog	=golliwog
johnsonese	约翰逊式的文体
gerentocratic	管理者的
reversely	相对地
disbelieve	怀疑
nine	九个
remit	宽恕
chipper	高兴起来
dorset	Earl
aminophylline	氨茶碱
flagged	不能再喝
capric	公山羊
carbinol	原醇
transmit	发报
nurserygirl	=nurserymaid
abide	容忍
celibate	禁欲
lagune	礁湖
indolent	不痛
sophisticate	弄复杂
hitchhiker	短篇广告
trope	修辞
neuroleptoanalgesia	=neuroleptanalgesia
icftu	国际自由劳工联盟
ingressive	进得去
kilampere	千安培
neuropteran	脉翅目
cannibalise	=cannibalize
slipslop	枯燥的话
outflung	张开的
infructescence	果序
congregant	聚会者
coseismal	同震曲线的
hirstie	=histie
ovoidal	=ovoid
neurogenic	神经性
mirthful	高兴
surfacely	表面
rampant	跛拱
subbass	最低音栓
cyclization	环化
suspension	悬而未决
dancetty	锯齿形
whitsunday	圣灵降临节
english	英国人的
prolapsus	脱出
healing	有治疗功用
damyankee	北方佬
clinographic	斜射的
tagetes	万寿菊
dps	System
bennett	班尼特
heterotrophe	异养生物
archaeozoic	=Archeozoic
decree	判决
tactician	策士
pompier	救火梯
worsen	恶化
pretrial	审判前的
washy	多水
watchman	看守人
otic	耳的
divine	超人
spuddy	短而粗的
fugue	赋格曲
rubefacient	发红剂
sputter	唾沫飞溅
observable	看得见的
genevese	卡尔文教派之信徒
purism	纯粹主义
lacteal	乳状的
cist	箱形石坟
rumbustiously	难驯
derequisition	解除接管
froward	刚愎
unapproachable	无可匹敌
secondhand	做旧货生意的
hypothetical	爱猜想的
b2b	Business
tensible	可伸长的
undermanned	人员不足
slp	Socialist
remedial	补救的
reaggregate	使再聚集
undeceive	使醒悟
publication	公布
rubefacient	使发红的
oxyphenbutazone	羟基保泰松
abandoner	委付者
rammish	象公羊
unquestionably	无可非议
outback	内地
trashy	没有用的
cinquefoil	梅花形
syllogistically	三段论法式地
continue	连续
riancy	快乐
font	字体
tanintharyi	=Tenasserim
chilli	红辣椒
supervisee	被指导者
kremlin	克里姆林宫
synanthy	联生花性
sanguinopurulent	含脓血的
spacebar	空格键
sirdar	将领
callant	少年们
peaky	尖峰
sepulchral	埋葬
primates	灵长类
puckish	恶作剧
prognathism	凸颚
ball	子弹
sprightliness	快活
phallical	生殖器崇拜的
nonfigurative	非形象
fooster	忙乱
nocturne	夜曲
alway	总是
baor	Army
siding	旁轨
cryogen	致冷剂
childbirth	分娩
obediently	服从
magdalen	妓女收容所
irreducible	不可约分
barterer	交易商
authoritarian	独裁主义
album	集邮本
mortify	苦修
palewise	垂直地
strange	陌生
iotp	Trading
downmost	最下面的
retiary	网状
nwbw	northwest
windbag	饶舌之人
ammocolous	栖砂的
lento	柔和
steadfast	坚定的
episode	有趣的事件
furibund	狂怒的
spode	斯波德式
marquetry	镶嵌细工
cast	投射
eruptive	暴发的
rotavirus	轮状病毒
overpaid	的过去式和过去分词
detectable	可看穿的
exposal	显露
salvationist	救世军
haggard	野鹰
exudate	流出物
hmnzs	Her
chronic	延续很长
stag	不带女伴参加晚会
friskful	有生气的
metacomet	梅塔科米特
voyage	旅行记
intercostal	脉间
diphthongization	二合双元音化
overstock	进货过多
kibed	生冻疮
ial	Algebaic
fake	仿造
bill	帐单
transuranic	超铀
unbarbered	未理发
sf	加强
safranine	番红精
ba	Ba
intercurrent	中间发生
subsidiary	补充
exenterate	去除内容物
cupel	试金用灰皿
czestochowa	琴斯托霍瓦
moustachio	八字须
adjusted	调整过的
chromocentre	核粒
uncoped	无法与之竞争
contrasty	明暗差别强烈
arm	海湾
uv	紫外
yap	无赖
malapportion	不公平的代表权
asynchrony	=asynchronism
integral	积分
direct	指引
ultrathin	超薄的
coolth	漠然
malacophyllous	柔叶的
pontoon	浮筒
oslo	奥斯陆
polyhymnia	圣歌女神
intranquil	不安
changeful	不稳定的
mozzarella	色白味淡
repeatedly	再三地
life	一生
zincoid	锌
burp	饱嗝儿
walsall	沃尔索耳
noddy	傻瓜
front	朝向
extravehicular	太縅lE獾
ungrounded	无稽
beat	打败
doctorand	博士学位候选人
dystopian	反面乌托邦的
nembie	宁比
bes	喜神贝斯
interstrain	杂交
groovy	很帅的
tudor	都铎式建筑式样的
infernal	恶魔
place	位置
tubate	有管的
grazioso	优美的
immutably	不变地
jumpily	跳跃
dress	服装
odophone	香味等级
tunic	束腰外衣
kilter	平衡
zimbabwe	津巴布韦
unapparent	不明显的
tanglesome	复杂
pathography	病史
unsized	未上胶水的
unendowed	不赋有的
formal	合礼仪
extraparliamentary	非国会所能控制
workman	工匠
admix	使混合
nymphaeaceous	莲科植物
ouzel	黑鸫鸟
profoundly	深深地
porifer	海绵
palaver	闲聊
unobstructed	没有障碍
unionise	=unionize
ensate	剑状的
lyrical	充满感情
woefully	使人痛苦
zygoid	合子
nidamental	生卵膜
merci	谢谢
toolhead	刀架
riflebird	风鸟
journey	旅程
amethopterin	氨甲蝶呤
duodecimal	十二为单位
apteral	无翅的
planting	种植
lms	London
euclidian	欧几里
brainworker	脑力劳动者
palpable	明显
rusty	腐蚀了
achillean	阿基里斯
antifungal	杀真菌
woozy	糊涂的
maduro	色深味浓
blastissimo	极强的
pdh	准同步数字系列
jib	踌躇不前
beatle	独立摩登新女性
pulmonic	肺
reaper	收割者
fighter	斗士
increasable	可加大
rachiodont	具喉齿
celature	金属浮雕
unworldly	对钱财不感兴趣
regular	经常的
cheroot	方头雪茄烟
ecology	生态学
jeff	杰夫
outbid	出高于……的价钱
cuboid	立方形的
poofy	脂粉气的
frigidly	冷淡地
tribalism	部落文化
uninterrupted	连续
evadingly	逃避
campanulaceous	吊钟花科
anaphylactic	过敏
radioulnar	桡尺骨的
defective	欠缺
drowsily	懒洋洋地
cutout	剪切块
navarchy	舰队
divertissement	娱乐
faculty	才能
advised	考虑过的
rhinolithiasis	鼻石症
cryptical	神秘
fascistize	使法西斯化
teletypesetter	电报铸字机
kenspeckle	明显
xerophile	旱生植物
heady	鲁莽
ldh	lactate
tiber	台伯河
yahoo	提供Internet上的目录信息检索服务
galess	无胆汁
easting	朝东方
unapparent	不明显
puttier	使用油灰者
adonai	我主
orangy	似橙
waver	摇摆
toothbilled	有齿喙
sepulchral	埋葬的
acceptee	被接受的人
liable	有义务的
tummler	小丑
legwork	外出搜集情况的工作
pesticide	杀虫剂
aeolian	风蚀的
gridder	橄榄球运动员
whitethorn	山楂
acceleratory	加速
tdma	Access
savings	储蓄
ductile	易教导
acrogenous	顶生
sloe	黑刺李
analecta	文选
proconsulship	总督的职位或任期
erasure	抹掉
blockboard	芯块胶合板
momentarily	即刻
peculiar	罕见的
aboveground	活着
oculate	具单眼的
dermoskeleton	外甲
thematic	论题
gsp	Preference一般特惠制
carnal	肉欲
savoury	风味极佳
unacquaintance	不知
attrited	磨坏
scherzando	戏谑
ashore	向岸
citrate	柠檬酸盐
unaccepted	不承担的
chain	一连串
darkle	潜藏在暗中
xix	罗马数字
scarabaeus	甲虫形宝石
erythrophyll	叶红素
papyrotype	纸印平版法
konk	鼻子
tope	豪饮
xylographic	木版印刷的
sociality	交际
rainily	多雨
addressable	可设定地址
ppt	000分之……
moldproof	防霉
knackery	老弱家畜屠宰场
atomization	以原子弹摧毁
ciaa	Athletic
adversarial	敌手
impertinent	无关的
surgical	外科医生的
mump	欺骗
unartistic	非艺术
sublime	庄严
poussie	猫
sheepherding	牧羊
hardhat	需要戴安全帽的
eternal	不灭的
whither	目的
exponential	例子
implicit	暗示
polysynaptic	多突触的
renascent	复活
independent	独立自主
gridiron	烤架
histochemical	组织化学的
pollenosis	枯草热
rident	笑的
raid	Redundant
chid	chide的过去式及过去分词
rook	车
sesquipedalian	令人厌倦
didymous	成对的
voltammeter	伏特安培计
caboshed	面朝前而无颈的
thalassocracy	海权
overwhelm	压倒
codlinsandcream	柳兰
anovulation	停止排卵
aphlogistic	无火焰
premundane	创世前的
spectrogram	光谱图
general	全面的
surrounding	环境
tendril	卷须状之物
honeymoon	度蜜月
simplicity	简易
overbid	过高的出价
undraw	拉开
neaten	整理
forborne	forbear的过去分词
fere	伴侣
ebcdic	扩充的二进制编码的十进制交换码
regain	重新夺
cobblestone	鹅卵石
plantmilk	植物牛奶
compactly	简洁
larghetto	稍缓慢
greasewood	藜科灌木的一种
flaxen	淡黄色的
flyer	飞行员
cortile	中庭
sleave	细丝
finch	雀类
peritectic	转熔
chemoprophylactic	化学品预防的
diethyl	二乙基
flunky	仆人
dotal	嫁妆的
habilitate	取得资格
yakka	艰苦工作
gigman	庸俗的人
awshucks	谦卑
sneeringly	轻蔑
sentiment	情感
byob	your
goddess	女神
anisotropic	各向异性
enunciative	宣言
gambit	话题
contrariant	反对的
tolstoian	托尔斯泰的信徒
spin	纺
toadeating	谄媚
cuvierian	居维叶
liftback	提升式流线型后背车身汽车
quit	离开
bundu	未开发的地方
recalcitrant	反抗的人
putschism	煽动暴动
multigraph	小型旋转式印刷机
poland	波兰
turnspit	转叉狗
patient	耐心
twelfthly	在第十二
collectedly	收集成地
