curragh	小型手推货车的一种
fleetness	无常
ghats	高止山脉
dsp	Digital
colicroot	腹痛根
raptor	肉食鸟
mothy	多蛾
itching	渴望的
unaptly	不适合
pentamer	五节聚化物
multidialectal	能讲2种以上方言
substitutional	取代的
pivotman	策应队员
swellish	时髦的
gripe	使肠痛
authoritative	有权威
nim	扒
elephant	一种纸张的尺寸
waver	犹豫
enamelware	搪瓷器
disorganized	无组织
almsman	受救济者
rhomboidal	长斜方形的
meanings	含义
feverish	发烧
flex	伸缩
unbelievably	难以置信
immanency	内在性
semiconducting	半导体
mixage	影片剪辑
convexity	凸状
justifier	辩护者
upgrade	使升级
wend	往
digital	数字式
semispheric	=hemispheric
scud	碎雨云
reedy	脆弱
venezuelan	委内瑞拉
elaborate	精细
sidearm	侧投球
isolator	绝缘体
vetanda	禁忌
grume	凝块
winning	得胜的
presession	会议前
clindamycin	氯林可霉素
armenian	亚美尼亚人
adulterate	通奸的
cambric	细薄布
tropism	向性运动
wound	伤
entoptic	内视
logogram	速记用略字
kellock	锚
bosket	小树林
rectangularity	成直角
cresting	顶饰
quivive	谁
mind	精神
pugilistic	拳击的
ganoid	硬鳞
carefully	谨慎
depot	库房
unfavourably	不利地
zoolatry	动物崇拜
removed	与……无关
inobservancy	=inobservance
thorntail	刺尾蜂鸟
coupist	政变者
exculpatory	辩明无罪
whipstock	鞭柄
rrb	铁路职工退休管理委员会
webbed	有蹼
antiphonic	=antiphonal
decrease	减少
bernice	伯妮斯
liquescent	易液化的
ebony	黑檀的
laughing	笑
triturator	捣碎者
concealment	隐蔽
osfcw	War
mu	希腊字母第
uneventful	平凡的
disemplane	下飞机
undulance	起伏
consummate	完美的
catoptric	反射的
sheugh	沟渠
riparian	水滨
unawakened	未醒的
procellous	多风暴的
cusso	苦苏花
uncaused	非外因引起
broadax	钺
likewise	也
biedermeier	保守
pragmatist	实用主义者
shock	震动
volcanically	猛烈地
blackwater	黑尿病
limpid	清澈
roundly	全面
force	暴力
knighthead	支撑杆
petalage	花瓣
accountably	可辩解
untenanted	无人租赁的
ration	分发
hincty	神气活现的
gus	格斯
youthy	年轻的
canicular	天狼星
guide	支配
harm	伤害
keratose	角质的
attachable	可附上的
syncretic	融合
elfin	淘气鬼
msgm	政府管理学硕士
lutrine	象水獭的
trying	费劲的
innocent	无罪的
metatarsus	跖骨
archimandrite	修道院长
sulfur	硫黄
amphitropous	植物横生的
biased	结果偏倚
oary	有桨
plane	平面
overplus	过剩
porifer	多孔动物
impinge	撞击
manipulation	被操纵
catecholaminergic	含有儿茶酚胺
sombrous	昏暗的
pectinaceous	果胶的
nucleocapsid	核壳体
chinoperl	Chinese
totemistic	崇拜图腾之种族
incongruity	不适宜的
birdlime	粘鸟胶
noncellulosic	合成纤维
duodenal	十二指肠的
stilly	寂静
heliochromy	天然色照相术
sphenographic	楔形文字的
creephole	躲藏之洞穴
adriatic	亚得里亚海沿岸居民的
evolvement	发展
customization	用户化
twelvefold	十二倍的
projecting	伸出的
precedency	领先
fibrotic	纤维变性的
alcoholize	浸入酒精
puttie	=puttee
bookshelf	书架
linguistic	语言学上
naperville	内珀维尔
inconsequentia	InkRnsI5kwenFl/
great	非常的
trunk	干线
congener	同类的
flashiness	灿烂
fluid	不固定的
aquanautics	水下勘探与研究
array	穿着
participate	参与
silt	泥沙
thin	稀疏地
kongo	刚果人
incarnadine	肉色的
calipee	龟的腹肉
deration	解除配给
superstitionist	醉心于迷信的人
technocracy	技术统治论
opal	乳色玻璃
probational	缓刑
intramuscular	肌肉
groundage	停泊费
circumscribe	在……周围画线
alewife	啤酒店女主人
laggardly	缓慢
zariba	=zareba
trevira	聚对苯二甲酸乙二酯纤维
assessable	可估价
statistic	统计
preclassical	古典期前的
filaceous	丝状的
depilitant	去毛药
carmelita	卡梅丽塔
grand	极重要的
home	国内
solanine	茄碱
arytenoidal	杓状的
australia	澳大利亚
systyle	两径间排柱式
convocation	教士会议
legend	传说
carpal	腕骨
unwittingly	不知情
definitive	最后的
coulee	深谷
mudfat	肥壮
phlogistic	炎症性的
hadhramautian	哈达拉毛族的
landaulet	形的小型车
cdma2000	Division
jundy	推
unmoral	无辨别是非能力的
habanera	哈巴涅拉
machinate	图谋
indented	犬牙交错的
barefoot	赤脚的
muscatel	麝香葡萄
untrodden	未受践踏
medially	平均地
flycatcher	京燕
reducible	可简化
scotch	苏格兰语
umbilicate	有肚脐
assign	指派
subcollege	准大学程度的
reason	动机
analogic	类推的
lashing	大量
fragile	脆
citadel	根据地
magniloquent	使用夸张语言
ahem	咳嗽或清嗓子的声音
phenomenal	现象的
godlike	与神相称的
discriminability	辨别力
discrepancy	矛盾
hcl	of
fancy	爱好
overgreat	过于重大
crescendo	声音渐增
pleadingly	诉愿地
quoter	引用者
xizang	西藏
often	常常
degenerative	退化的
vulturine	秃鹰似
backhanded	反手拍击
controvertible	可争论
panicum	黍
trustee	托管人
menstrua	的复数
course	追猎
regalvanize	重新振奋
hawk	咳嗽
oreshoot	富矿体
getup	服式
fodder	素材
godfather	教父
clincher	紧钳
elgin	marbles埃尔金大理石雕
allopelagic	生于不同深度
hypnopompic	半醒
hyperacidity	胃酸过多症
halation	照相底片上显现的光轮状晕
whoopla	喧哗
plead	托称
inductile	没有延性
doorcase	门框
uncloister	解除……的禁闭
unenlivened	无生气
aftersensation	余留感觉
louver	屋顶窗
semitone	半音程
roed	腹内充满卵
khond	冈德人
bidon	盛液体的有盖容器
candle	对着光检查
achromatous	无色的
lingayen	仁牙因
solarization	反感作用
oleomargarine	人造黄油
methodically	有系统
barytic	重土
lichenaceous	青苔属
ineffaceable	不能取消的
handwoven	以手织机编织
handworked	手工的
matlo	水手
phylesis	系统发育
gastral	胃的
commanding	发号施令
plush	长毛绒
inequilateral	不等边
aicpa	Accountants美国会计师协会
sink	沉下
freshwater	内河
charging	炉料
mia	action
cabasset	七世纪时的一种钢盔
mechanical	机械
neurotropism	趋向神经性
unchurched	被逐出教会
seedman	=seedsman
ichthyomorphic	鱼所特有
obtainable	能得到的
charily	节俭
swale	洼地
giselle	吉塞尔
saint	圣徒
fledgy	盖以羽毛的
antimonial	含锑
gliding	流畅的
autofit	最适合的行高
converse	颠倒
journalistic	新闻工作者
exsert	使伸出
rotary	旋转
undermost	最下地
equitableness	正当
wuzzle	搞混
abstruse	奥妙的
agedness	老年
send	打发
shroff	鉴定
systemless	无秩序
mercuric	汞的
python	巨蟒
thaumaturgy	魔术
hyperdactylia	多指
apulia	阿普利亚区(即普利亚区
prettily	悦人地
insuperable	不能克服
natasha	娜塔莎
staggart	4岁的雄性赤鹿
closehanded	小气的
wiriness	铁丝状
heliotropin	向日葵香精
trisubstituted	三元取代
cragged	崎岖的
paotou	包头
incongruously	不调和地
seiko	日本精工株式会社
trifilar	三点
ulexite	钠硼解石
graftabl'	NULL)
petroliferous	产石油的
extemporal	脱口说
infective	有传染性
fraternity	兄弟会
parochialism	教区制度
defeminize	使去女性化
lection	经文
lounder	重打
couture	服装设计或其服装店
bucharest	布加勒斯特
imperfectible	不可能完美
razzberry	=raspberry
mooch	偷
corolline	似花冠的
grappa	格拉巴酒
cymar	女衬袍
dts	数字电影院系统
eunuchize	阉割
abiotic	无生命的
voodooist	魔术师
formulize	把……作成公式
gerontophobia	恐老
priggish	自负
hyperion	亥伯龙神
tuitionary	学费的
vintage	葡萄收获期
incoherence	不连贯
scottie	苏格兰人
sear	凋谢
definable	可定义
vacuum	真空吸尘器
rounder	卫理公会牧师
desponding	意志消沉的
fair	晴朗
declivity	下坡
roundworm	蛔虫
reval	=Tallinn
luncheteria	自助小吃馆
amphioxus	文昌鱼
pliability	柔韧性
halfway	中途
eugenic	优生学
corollary	必然的结果
coagulation	凝结
lacunaris	多孔的
taiyuan	太原
settler	财产赠予者
strictness	严重
rics	皇家特许测量员协会
nicety	美好
palm	藏……于掌中
prohibition	阻止
aspca	美国防止虐待动物协会
poppied	多罂粟的
underappreciated	未得到正确评价的
benet	诱入陷阱
improvisatori	即兴
stingy	缺乏的
sympetalous	合瓣
sinless	清白
aseismatic	耐震的
isometrical	等大的
musicologist	音乐学者
anthrosphere	人类活动圈
bunraku	文乐木偶戏
plantigrade	踯行动物
rubrical	朱色
haustrum	袋
plutus	财神
gmat	Greenwich
whaler	捕鲸船
rightward	向右的
plerome	中柱原
aerotrain	飞行式气垫列车
marking	记分
apt	易于……的
mfn	Most
complementarity	补充
tawny	茶色的
astriction	便秘
arillode	假性假种皮
snubbingly	厉声制止地
overhead	在空中
hood	覆盖
msgm	Science
guilty	心虚的
courteously	有礼貌地
quadrillionth	千万亿分之一地
chapiter	柱头
basra	巴士拉
riverbank	河岸
reviewable	可回顾的
arthromere	体节
contractible	缩小
planform	平面图
hectic	狂热
eva	舱外活动
hls	HLS色彩模型
eruptive	喷火的
miscalculate	算错
lampedusa	蓝佩杜萨岛
ever	永远
terezina	=Teresina
demonetize	使通货废止使用
thunder	雷声
peart	聪明的
carbonation	碳酸化作用
phonographic	速记
naphtha	石脑油
carved	有雕刻的
unshifted	未更换
organum	推理法
baconian	归纳的
insurgently	汹涌
rack	加以拷问
eschatological	末世学
nucleophilic	亲核
rally	给予新力量
waveringly	摇动
gutty	有勇气
detruncation	截短
mace	钉头
suprarenal	肾上腺的
ursine	象熊
communicate	感染
amicably	友善地
septette	七人一组
fee	酬金
political	行政上
anabiosis	复苏
adagietto	更缓慢的
circumpolar	拱极星
skete	僧侣团体
phallocrat	大丈夫主义者
mohammedan	回教
ocdm	民防国防动员署
chickenlivered	胆小
breeder	饲者
medullary	脊髓
unpromising	没有希望的
disfiguration	=disfigurement
bacchic	酒神的
decidedly	果断地
cacophony	不协和音
ftp	File
inspan	套牛马于车
fluoroplastic	氟塑料
rasc	Service
hypotensive	低血压患者
hellery	调皮捣蛋行为
daemonic	恶魔
infatuated	昏头昏脑
position	阵
akin	同族的
unneutral	偏袒的
vichyssoise	奶油浓汤
transworld	环球旅游的
cheek	类似颊的事物
avoir	avoirdupois
fair	女性
rhythmicity	节奏性
available	可用到的
tallboy	双层衣橱
tontine	唐提联合养老保险制
tenebrosity	暗
osteal	侵袭骨的
hamburger	牛肉饼
rhinestone	水晶之一种
vein	使成脉络
aniconic	无偶像
microcopy	缩微复制
nannyish	过分拘谨的
hurl	猛投
salesite	羟碘铜矿
wolfram	钨
rehandle	重新处理
quintan	五日热
plane	刨
vomitive	呕吐的
ang	Guild
squeegee	橡胶滚轴
adolesce	进入青春期
reclosable	能重新盖紧
pad	加上衬垫
metaxa	迈塔克瑟白兰地酒
cterm	Communications
draff	糟粕
misconstruction	误解
crackbrained	精神错乱的
filaceous	丝质
lickspittle	献媚者
lettic	列托语的
onus	责任
civet	香猫香
barbital	巴比妥
zoophoric	具有动物形
monopolizer	独占的人
fifine	菲芬
spirochetic	=spirochaetic
bytecode'	NULL)
lydian	吕底亚语的
runproof	不会渗化的
mim	假装羞怯的
serajevo	=Sarajevo
hectogram	一百公克
highstick	举杆过肩阻截
unpatterned	无图案装饰
hbms	Ship
fourgon	行李车
ambuscade	伏击
medieval	仿中世纪
scolops	感橛
sculpture	雕塑品
undiscipline	无纪律
nonfreezing	不会结冻的
cyclone	气旋
congener	同类的人
airgraph	拍照航空信
disennoble	使低贱
hilly	多坡
indifference	不关心
zenographic	木星表面
planes	位面
idiomatically	使用惯用语句
jocularity	戏谑
joint	贴合
ribbed	有棱纹
incursion	侵入
geoponics	农业
depersonalization	失去人性
amah	奶妈
fine	澄清
orbiter	盘旋物
oeec	Organization
uglily	丑陋地
gmbh	mit
lean	倾向
unforgettable	令人难忘
mistful	=misty
livable	可住
boomerang	回飞棒
nastily	污秽
broadband	宽带
uplooking	向上看的
undemonstrable	无法证明的
vera	维拉
stabilizer	稳定器
aldo	奥尔多
coterminous	连接
knobbiness	多小丘
biscay	of
noncommunicable	不会传染的
melissa	梅利莎
bashful	害羞
insistent	坚持不懈的
pretersensual	感觉不到的
fallen	的过去分词
inclip	紧握
optoacoustic	光声
traditional	传说
revealed	透露
conglutination	粘附
excess	过度的
ruefulness	可怜
cephalopodous	头足类
breezy	有微风
thin	变细
unbutton	解开钮扣
kerflop	扑通
hippomanic	有爱马癖
inleakage	渗入
beefburger	煎牛肉饼
argental	似银的
gelid	极冷
easting	东行航程
pitsaw	大锯
lawrencian	=Lawrentian
fido	业余爱好者网络
nephrolithotomy	肾石切开术
mizo	米佐人
mystagogical	解释神秘
repentant	有悔改表现的
hyperaggressive	咄咄逼人的
dictionary	词典
shopsoiled	陈列久了的
sciuroid	松鼠尾巴的
pharmaceutics	制药学
congruous	适合
andromache	安德洛玛刻
pathetically	哀婉动人
assembled	装配
sorefalcon	1岁的游隼
ned	的昵称
anomie	社会的反常状态
msie	Science
tarantism	跳舞病
truculence	粗野
pout	板脸
transcontinental	横贯大陆的
bp	呼机
grumbling	出怨言的
telomer	调聚物
puppy	小狗
finis	终
hydration	水合作用
vagina	叶鞘
rvsvp	s''il
governable	可支配
about	在……周围
coppernose	酒糟鼻
tackle	用具
befittingly	适当地
rmb	Renminbi
heliograph	用日光仪传递
tassie	=Tasmania
clarissa	克拉丽莎
tantalizing	非常着急
information	信息
exceeding	非常
youthy	少壮的
mastoidean	=mastoid
eudaemonic	幸福的
husk	无价值之物
mao	monoamine
campy	不自然
titivate	化妆
charm	符咒
sysop	站长
davey	戴维
infirm	弱的
perception	感知
fluey	蓬松的
console	藉慰
misuse	滥用
semiyearly	半年一次的
vmi	Institute
mozetta	带兜帽短斗篷
kingpin	主脑人物
dateable	可确定时代
declarative	宣言的
counterplot	对抗策略
instant	紧迫
isobarically	恒压
insect	对付虫子的
psychotoxic	能引起精神病
puckery	缩拢的
square	正直地
martemper	使分级淬火
acclamation	拥护
implied	含蓄
boundlessly	无穷地
expeditious	敏捷
phenology	生物气候学
bequeath	把……传下去
macrolepidopteron	大型鳞翅昆虫
ravel	错综复杂的一团
storehouse	仓库
misallocation	错误的分配
victoriously	胜利地
bergsonian	柏格森主义
loot	抢劫
fire	开枪
federative	有外交和国家安全
underproduction	供不应求
interwar	两次战争之间的
lah	长音阶的第
orbiculate	球状
trirectangular	三重正交的
untoward	麻烦的
millionairess	百万富翁的妻子
avariciously	贪婪
replicate	复制
eft	水蜥
allelopathy	植化相克
gast	使惊讶
overaggressive	过于积极进取的
frequent	时常发生
maxim	格言
fightback	回击
inorb	包围
carrier	带菌者
tristesse	沉闷
discord	不一致
catnap	小憩
level	平坦
rubberlike	橡皮状的
dryly	枯躁无味地
bourne	目的地
body	尸体
eraser	擦除器
fletch	装上羽毛
orthophoto	正色摄影
belgic	人的
acupuncture	施行针刺疗法
conchae	半圆屋顶
isthmectomy	峡部切除术
lordly	有贵族特点的
lawfully	守法地
signal	用信号通知
parang	帕兰刀
disoriented	无判断力
autarch	独裁者
carotenoid	类胡罗卜素
measles	风疹
nonfigurative	没有比喻用法
title	扉页
courage	精神
uneducational	无深造作用
unsoldierly	不英勇的
toffee	中褐色
fallow	休耕的
connivent	靠合
unspent	未耗尽的
froth	废物
frolicsome	嬉戏的
calculatedly	故意
market	在市场上买卖
pleadingly	祈求
aymaran	艾马拉族的
jura	jus的复数
ponce	男妓
dirtily	龌龊
bedevil	虐待
bioplasma	生物原生质
cutlet	炸肉排
controversial	争论的
ocs	Officer
gramdan	赠
showplace	剧院
bimillennial	两千周年的
albino	白化病者
rework	重做
paper	纸上的
reflex	反映
suxamethonium	琥珀胆碱
destruct	故意或有计划的破坏
dogate	共和制总督职位
sri	Sacrum
photocinesis	=photokinesis
segregative	分离
hand	交给
piratic	盗版的
dreamfully	梦多地
rhomboidal	长斜方形
creeping	爬行
aerophobia	高空恐惧
sextant	圆的六分之一
butterfly	蝶泳
exorable	可用恳求打动的
hent	目的
pat	正好
acrophony	截头表音法
supersell	超级推销
accostable	易接近
nasserite	纳赛尔主义者
nehemias	=Nehemiah
leprology	麻风学
sudamina	汗疹
tinamou	鸟类之一种
violinist	小提琴演奏者
bloomy	盛开的
diallel	双重的
advocatory	拥护者
partialness	偏爱的
raven	乌黑的
hydrodynamicist	流体动力学者
barebacked	无鞍的
woman	女仆
undignified	有损尊严的
shutdown	关门
entoplastron	内腹甲
hedonics	享乐论
stepney	备用轮胎
saddler	乘坐用的马
trifle	玩弄
duckstone	水漂石
cowtail	有牛味
transit	运输线
tuneful	和谐的
planter	殖民者
rumply	压绉
repentant	后悔
tannage	鞣皮厂
meaty	肉的
beach	海滩
after	以……命名
doggie	小狗
struggle	使劲移动
cocurricular	辅助课程
taxloss	赋税亏损
purpoint	point
unclassified	无类别的
fucoxanthin	墨角藻黄素
godless	无神论者
after	在……之后
treatment	待遇
venine	蛇毒素
vibrational	振动
splenic	脾的
landwards	向陆
morphometrics	形态测定
remnant	残留
deprecation	祈免
recondensation	浓缩
raintight	不漏雨的
pubescence	软毛
irisated	彩虹色的
villainous	恶棍的
leukodystrophy	脑白质营养不良
riffraff	渣滓
concentrical	共中心的
apyrexia	发热间歇期
stash	隐藏处
potassic	含钾
marianist	巴黎圣母会成员
roomily	宽敞地
forgivingly	慈悲地
clew	线团
farrier	蹄铁匠
replant	改种
neurotomy	神经解剖学
phantasmagoria	=phantas
asturian	阿斯图里亚斯人的
directorship	管理者的职位
appeasement	缓和
blueness	蓝
cherry	如樱桃的鲜红色
youngling	年轻人
proclaim	声明
vagabond	流浪者
woodsy	树林多的
liquorish	讲究吃
conducively	有助
aging	使变老
sitting	入席
worried	闷闷不乐的
theory	推测
potable	适于饮用的
defeasible	可废止
verna	弗娜
fastigiate	圆束状的
tubercule	小结节
resourceless	无方略的
agitato	兴奋地
fenestella	小窗
verisimilar	好象真实
irreversibility	不能反逆的性能
spinny	=spinney
saturant	使饱和
christiana	克里斯蒂安娜
perceptible	感觉得到
iyft	at
milligrame	毫克
roofed	屋顶的
ectogenous	体外生活
moorfowl	苏格兰雷鸟
zoantharia	六放珊瑚类
rsvp	please
garrison	卫戍
monotonize	使单调
ceaselessly	不停
stereometry	体积测定
faltering	蹒跚
responsible	可依赖的
hathpace	高台
afterdinner	正餐后
shipboard	船
put	放
plane	平
swinishly	贪婪
quadrisyllabic	有四个音节
willing	自愿的
bfa	美术学士
spar	园材
snr	Noise
cetrimide	溴棕三甲铵
bortz	=bort
unrepealed	未被撤销
merryman	丑角
itn	Independent
unexacting	不苛求
unsugared	未加糖
spill	使散落
vigorously	精神旺盛
candlestick	蜡烛架
walk	步
telediagnosis	远距离诊断
ilka	每一个
galleta	牧草
berliozian	柏辽兹乐曲的
laguna	小湖
unembellished	未装饰的
pentagraph	个字母
put	怪人
bidentate	有二齿
dic	Integrity
crustless	没有外壳的
europanet	欧罗巴网
termini	目的
silicule	=silicle
baitandswitch	"上钩调包"诱售法的
quarterdecker	高级船员
phonic	声学的
smothery	令人透不过气的
injective	单射
hebraise	=Hebraize
inhomogenous	非齐次
sabang	沙璜
chetnik	二次大战中南斯拉夫塞尔维亚人之游击战士
ichthyoacanthotoxism	鱼刺中毒
fenian	芬尼亚会的
verus	正确
glosseme	语符
jewelly	戴手饰
bfr	Buffer
chargeable	可充电的
hcg	human
dialytic	透析的
pasteboard	不坚实的
palmful	满把
acclamation	赞成
ascendency	优势
sagaciousness	聪敏
endostracum	壳内层
bitterweed	含有苦素的植物
decorously	有礼貌地
edifying	有益的
geo	陡壁峡口
helpless	无助
sought	seek的过去式和过去分词
fetch	吸引
farthest	最久的
lather	涂以肥皂泡
thereby	从而
restatement	再声明
dither	发抖
kudos	荣誉
famulus	助手
extraovate	卵外的
membranate	似膜
cent	分币
lenitive	减轻痛苦的
humouresque	诙谐曲
untorn	未撕开的
heartsick	悲痛
trail	跟踪
spunbonded	纺
partialness	不公平
advance	前面的
weekender	周末旅行者
rush	急需的
corroborator	确证者
explicit	直率
japanology	日本学
babylonish	言语不清的
weather	迎风的
schizogenic	=schizogenous
collectively	共同
sifter	筛子
griddle	筛
geminal	偕的
unexhausted	未用竭的
peacebreaking	扰乱治安
programmable	可编程的
lovelorn	害相思病
discursiveness	推论
cleansing	有去污作用
conclude	决定
redshank	红脚鹬
purl	漩涡
vhf	特高频
repose	寄托于
wsj	Wall
snicker	窃笑
spirivalve	螺状
heteroploid	异倍体的
bargemaster	驳船的主人
impressionistic	印象主义
saponifiable	可皂化
cattail	香蒲
equivocal	模棱两可的
cooperativity	协同
roquet	击中
acridity	辛辣
seawater	海水
bms	of
cv	=cv
goosy	愚蠢
dominating	专横
unuseful	无益
cestus	腰带
gazetteer	记者
desulphurize	除去硫磺
graven	雕刻
gastronomical	美食法
roguish	流氓
internally	在内
viatica	的复数
nicotinism	烟碱中毒
associate	合作人
tuner	调谐电路
geosynclinal	槽
monopteral	圆形外柱廊式的
standpipe	管体式水塔
bill	用海报宣传
aeriferous	装气
mucker	遭到失败
undefined	未下定义
perennial	多年生
donum	德南
charmingly	愉悦地
averseness	厌恶
leewardly	动辄要滑向下风处
hungarian	匈牙利的
compounding	混合
fluxional	微分
planometer	测平器
collaborative	合作
downward	向下
airily	轻盈
synergetic	协同作用
fair	清楚地
crumb	搓碎
coupon	商家的优待券
theses	指挥棒的朝下挥动
bleary	眼睛模糊的
lamellicorn	鳃鱼的
unlace	解开带子
ack	接收确认信号
glucosan	葡萄综合物
knocker	门环
storefront	店头
metropolitan	大城市
extractible	可提取
flashover	闪络
lacteous	乳的
undertook	undertake的过去式
forepale	打桩以防泥土崩落
aarp	AppleTalk
wirehair	硬毛狗
mitigative	缓和
vlsm	masks
reichsmark	马克
residua	残留物
vituperation	辱骂
limites	lime@的复数
naw	不是
megalithic	巨石造成
accustom	使习惯于
deliberation	从容
one	一方的
stoical	不以苦乐为意的
transiency	顷刻
bookkeeper	簿记员
conamore	热心
snowberry	雪果
nape	项
scoop	挖
demented	发狂的
juristical	法律
farinose	含粉
sitting	坐着
flourish	华饰
hiplength	盖住臀部
grafter	收贿者
tenebrosity	阴暗
relatival	关系词
bibliographer	书志学家
trisomic	一套半染色体的
crepe	绉绸
hexapodous	具六足的
sib	有血缘关系的
eelpout	粘鱼类
pseudomonad	=pseudomonas
pestiferous	邪恶的
counterblow	反击
coincide	符合
exuberant	华而不实
polymorphic	多形态的
rounding	舍入
crust	面包皮
halma	哈尔马棋
promontory	岬
windup	挥臂准备投球的动作
incomprehensibility	不可思议
bond	债券
baume	波美比浮计的
daffodil	水仙花
avengingly	复仇地
conceit	意见
managership	经理的地位
estanciero	牧场主人
roughly	概略地
virginiamycin	维及霉素
mcmlxxxiv	罗马数字
ennyyee	倦怠
overdrive	超速传动
creel	线轴架
unbuttered	没有黄油的
doglegged	弯曲如狗后腿的
unguligrade	蹄行的
unsicker	不可信赖的
sinuate	弯弯曲曲
descriptively	叙述地
bifacial	有两面
boondocks	荒野
expiree	服满刑期者
anubis	导引亡灵之神
darg	一天的工作
peritrack	=taxiway
wet	湿的
eyeservice	尊敬的眼神
guarantee	保证
choralist	赞美诗歌唱者
ya	young
epithet	绰号
unreserved	无限制
metallise	=metallize
staff	支柱
puggry	印度人用的头巾
satiation	厌腻的
avirulent	无毒性的
praiseworthily	值得称许地
engrain	根深蒂固
craftily	狡猾地
ruddily	呈现赤红色地
monied	=moneyed
outmeasure	在分量方面超过
kindle	着火
doglike	忠实
cetology	鲸类学
metazoic	=metazoan
sole	唯一的
capucine	=capuchin
oddfish	古怪的人
swiss	瑞士的
vile	不足道
propellent	推进者
ruffian	无法无天的
compelled	强要
interspace	空隙
assaultable	可袭击的
exhaustion	竭尽
giddy	眼花缭乱
marcando	=marcato
duodenal	十二指肠
eclaircissement	解说
basilica	长方形基督教堂
geographic	理
detectable	可发觉
fillip	用指弹
clerestory	通风窗
tributary	附庸
crystallise	=crystallize
eyestrain	眼睛疲劳
horizon	地平范围
burglarproof	防盗
decade	十年
danaus	丹尼亚斯
betta	搏鱼属的鱼
jarless	稳定
dissect	切开仔细研究
evangelicalism	福音派的教义
compunication	计算机通信
extracanonical	未入圣典的
ideaed	主意多
mantelet	小斗蓬
transformation	转化
arbour	藤架
dumpishly	愚笨
nardoo	一种苹属植物
logographer	希腊历史家
refundment	退还
shunga	春宫画
amps	高级移动电话服务
moonlight	月光
yafa	=Jaffa
veneration	尊敬
tamely	温顺地
orthoepic	正音法的
gratitude	感谢的心情
mrs	Reference
sankara	商羯罗
dab	比目鱼
regenerate	起革新作用
mettlesome	精神饱满
fmc	Maritime
ling	石南之一种
rotundity	圆形
whoop	高声说
female	女子
gdynia	格丁尼亚
metamorphose	变形
epipastic	撒布粉
