biedermeier	稳健
gatemouth	"关不住的话匣子
hearting	石墙的衬心
cabbage	甘蓝
rocker	摇的人
cryptographical	暗lly//
orion	Diana
aminophenol	氨基酸
purl	倒针
endamage	使损坏
changer	改变者
richly	丰富地
finery	漂亮
http	超文本传输协议
sleuth	侦探
syllogise	=syllogize
ludicrous	滑稽
uncomplex	易懂
costless	无须付出代价的
adumbrative	暗示
sternforemost	倒退
atlanta	亚特兰大
apagoge	反证法
ambisinister	两手均不灵活
besiege	包围
syncopate	词中省略
stenographer	速记员
stuma	不安
ribby	精疲力竭的
humidify	使潮湿
holobenthic	终生在海底或靠近海底生活
squirish	样子像乡绅
anthocarpous	掺花果的
sculptural	雕刻
unwary	不注意
baldness	光秃
mercenary	唯利是图
sinaitic	西奈山的
monophoto	莫诺照相排字机
iou	借条
downright	明白
time	时间的
piping	平静的
buccaneering	掠夺
baffleboard	任何灭音装置
shipboard	舷侧
dewdrop	露滴
handle	搬运
dovecote	鸽房
accusatorial	责问的
breadthways	横地
baneful	有害的
sacrosciatic	骶骨坐骨的
bike	自行车
idiosyncratic	异质
entity	实体
crosswise	成十字状地
auric	三价金的
sublime	极端的
afdc	Aid
railroadiana	铁路文献
heterogenous	异种
unneighbourly	不喜欢与人交往的
mirage	雾气
staple	常用
wysiwyg	Is
outrun	超过
chandelier	树枝形的装饰灯
pentatonic	五音的
unicostate	中脉显明
embargo	禁运
jackhammer	手提钻
enterectomy	肠切除术
hypsography	地势
temporomandibular	颞下颌的
lightfaced	细铅字
trigger	引起
cineole	桉树脑
ironist	讽刺作家
probationary	缓刑的
washy	乏味
cinquecento	此时期意大利艺术风格
totality	全食
himyaritic	希米亚里特文化的
ineloquent	不雄辩的
late	迟
bryony	葫芦科的一种蔓草
hvar	rocket
fillet	用带缚
sylvicultural	造林学的
slowish	速度稍慢
amply	详细地
mhr	Representatives众议院议员
veil	口实
retinoscopy	视网膜检影法
donau	=Danube
carom	连击
scepticize	怀疑一切
sweetly	香郁地
lightless	暗
ankyloglossia	舌黏连
stride	大步走
catchpenny	薄利多销
wordpad	记事本
prudently	慎重
crustily	粗鲁地
sleeping	睡着的
skookum	极好
repellant	=repellent
miocene	中新世
prefrontal	前额
ceramal	合金陶瓷
shooter	射手
paradoxical	荒谬
aerotaxis	趋氧性
budding	萌芽的
daftly	愚蠢地
vendee	买主
tinhorn	吹牛的人
polarisation	=polarization
anticly	奇怪
insinuate	使逐步而巧妙地取得
disaccordit	撤销……的委派
pericardial	围心
veronica	婆婆纳
wrb	Refugee
blithesome	愉快的
phantomlike	幽灵似
dirty	下流
needleman	缝衣工人
eventless	平静无事
chillness	冷淡
luminaire	泛光灯
emit	吐露
liposoluble	脂溶
avulse	撕脱
home	家庭的
ctol	常规起落飞机
desmoenzyme	结合酶
color	颜色
mut	无足轻重的人
detergence	去垢力
equipped	预备
vim	精力
flutter	鼓翼
aeronautics	航空学
gambling	赌博
connivance	默许
judaeophil	善待犹太人
fuller	漂洗工
tot	总计
katakana	片假名
rapparee	强盗
plush	舒服
snaky	蛇一般
harvest	结果
ole	and
elliptical	椭圆
brunch	早午餐
solvability	解决之可能性
catkin	柔荑花
czechoslovak	捷克斯洛伐克人
bird	鸟
camerawork	摄影操作
refix	重新装设
ankylose	胶着
wearproof	耐用的
iroquoian	易洛魁族人
unsaleable	无销路
tumultuate	引起骚乱
unsullied	无污点
downrange	发射中心和沿着试验航向的
illinoisan	伊利诺斯州人的
effeminacy	柔弱
telamon	男像柱
arsine	三氢砷化
zirconic	锆的
abuilding	在建造中
blossomy	花盛开的
nobody	任何人
orbicular	环状的
dispersible	可分散的
object	物体
plagiarism	剽窃物
deneb	天津四
lactometer	检乳器
graveside	坟墓边
kieserite	硫酸镁石
papaverin	罂粟碱
premium	奖金
dampish	含湿气
whole	整体
ferocious	凶恶
calfskin	犊皮所制的革
enshroud	掩盖
livestock	家畜
semon	义符
nodular	小节
transudation	渗透
piercing	刺穿的
uncreolized	未克里奥尔化的
qq	quartos
diaplasis	回复
ocherous	含赭石
gutty	生气勃勃的
floristic	植物的
crotchety	有怪想的
fill	供应
whoops	哎呦
tripey	无价值的
stray	迷路
sempiternal	永久的
hag	砍
covenant	立约
piecewise	分段地
masochism	受虐狂
nomenclatorial	命名
offwhite	灰白色
scots	苏格兰人的
rampart	防卫
unconformity	不顺从
biogeochemical	生物地球化学的
bigeminal	成对
bivouac	野营
misspoke	念错
concentricity	同心
agreeably	愉快
tyrannously	压制
sabbatarian	守安息日
unretarded	未被妨碍
xl	特大号
bdtr	Rate
pamphrey	洋白菜
echo	回音
augustly	庄严
dress	穿衣
specula	反射镜
sublunary	上
impedimentary	阻碍
pulmonary	肺部的
appalling	令人震惊
xerostomia	口腔干燥
urgently	迫切
holocaine	芬那卡因
knottily	有结地
rabbanist	rabbinite
enfeoff	授予封
mascara	染眉毛油
vibration	摇动
invite	邀请
morphosis	形态形成
atopic	遗传性过敏症的
barley	大麦
crumby	柔软的
hosiery	袜类
ringent	开口的
tagrag	褴褛
emerge	暴露
conjury	变戏法
disyllable	双音节词
mantic	预言
utricular	小囊状的
variability	可变性
rdx	三次甲基三硝基胺
sfx	special
ultraclean	超净的
unsophisticate	Id/
forehanded	时机
ho	Ho
charm	使陶醉
reassure	使……恢复信心
unaccompanied	无伴奏的
zanthoxylum	花椒属植物
obscurity	含糊
startling	令人吃惊
trustily	忠实
inconscious	无意识的
pasquinade	讽刺诗
kent	的过去式和过去分词
chump	大木片
lionize	游览……名胜
dwarfism	矮小
obligingly	亲切地
domesticable	习于家居
extended	伸出
beckon	召唤
unfathomable	无底
infanticidal	杀婴儿的
salvageable	可挽回的
semioval	半椭圆形的
ichthyophagy	食鱼
vesa	视频电子标准协会
fiery	火
machinability	机械加工性
slaveocracy	美国南北战争前南方的奴隶主集团
wrung	wring过去式及过去分词
grandee	大公
nyctitropic	夜间变更方向
assr	Socialist
fearnaught	粗绒大衣呢
wound	伤口
landlady	女房东
toynbeean	汤因比历史观
sissified	女人腔
spatulate	竹片状
conquerable	可战胜
toothbilled	有齿喙的
mobilize	动员
noserag	手帕
segmentalize	使分成部分
ciliary	纤毛的
phonolite	响岩
comb	鸡冠
hartshorn	鹿角精
sourly	坏心眼地
lapactic	泻药
vesica	膀胱
scarlet	猩红
gapemouthed	目瞪口呆
towering	激烈
disagreement	意见不同
interdepartmental	各省间的
fluidify	使流体化
watchfully	警惕
scheelite	白钨矿
archine	俄尺
substratal	根本的
diploma	毕业证书
indefensible	无辩护余地的
reprofile	装修……的外表
toga	宽外袍
personal	身体
mundane	世界的
pygmyisn	侏儒似的
unexacting	不严厉的
amendatory	改善的
asme	of
chirograph	任何正式签字的文件
plute	财阀
substantialize	实体化
gummiferous	有树胶
evacuant	排泄药
cosmetician	化妆师
listed	列出
sychnocarpous	结多次果的
survey	勘定
ingratitude	忘恩
complot	图谋
aqua	水
corruptive	腐败性的
superradiant	超辐射
defence	答辩、辩护
uniform	相同
alive	活泼
trephine	有柄的环锯
fils	伊拉克、约旦、科威特等国的铜币
present	提出
digit	一指宽
glimmer	闪光
unhallowed	污渎的
catalepsy	全身僵硬症
immorality	不道德
calcareously	石灰地
antalkaline	解碱
emasculate	阉割了
mechanistic	机械论的
tawdry	非常华丽
maximal	最大的
chardin	Teilhard
drogue	浮标
faucial	喉头音
driftage	漂流
breadbox	面包盒
fiend	魔鬼
subcenter	次要中心
gillie	侍从
iotp	Protocol
scivvy	=skivvy
reradiative	再辐射的
laystall	垃圾堆
mongolian	先头愚型症的
primus	第一
gently	逐渐
preferable	更可取的
upright	竖立着
loo	一种纸牌游戏
effectually	有法律效力
bangtail	赛马用的马
skip	跳读
tdma	Division
tabby	使起波纹
rambunctiously	粗暴地
rangeland	放牧
verdant	翠绿的
heeler	一帮捧场的人
tranquilly	安静地
septuplicate	一式七份
odourless	无嗅的
flocculus	小叶
calendry	轧光车间
jism	元气
nanhai	南海
smattering	略知
soliloquist	独语者
dilettantish	浅薄的
remissive	宽恕
pram	婴儿车
rampage	暴跳
unparalleled	无比的
cpi	Consumer
undergone	undergo的过去分词
hircine	山羊般
classical	古典的
castiron	健康
vitriform	玻璃状
luck	幸运
durable	耐用的
hrip	requiescit
oklahoman	俄克拉荷马州
pneumatic	灵魂
filthily	污秽地
arhat	永入涅槃再受生死果报的僧人
issuable	争论的
skimp	节约使用
camporee	童子军露营
adlittoral	浅水的
atrazine	莠去津
circulate	传播
prettyish	可爱的
libelous	用言语中伤他人的
remember	回忆起
cresylic	杂酚油的
caribbean	加勒比海
dropout	中途退学
acidimetric	酸量滴定
piggish	贪心的
regulate	控制
ndis	Driver
strac	战略陆军部队
weatherglass	晴雨表
seventeenth	十七分之一的
goatmoth	木蠹蛾
pontoon	浮码头
vagile	漫游的
negotiate	通过
exteriorly	表面上
vortices	旋涡
aryan	印欧语
poultry	家禽
nucleal	=nuclear
haematin	氧化苏木景
synchronous	同步的
classy	上等
russophobe	厌恶俄国者
desultorily	散漫
analysis	分析
superrat	超常鼠
thersitical	谩骂的
propertied	有财产的
evidentiary	证据的
pertly	冒失
postpartum	产后的
countable	可数名词
somatoplasm	体细胞浆
hexaemeric	创世之六日的
escap	亚太经社会
quemoy	金门
fibrillate	有原纤维组织的
cistern	蓄水池
ceremonious	讲究仪式的
nasogastric	鼻饲
lingeringly	延迟地
webernish	有点像韦伯恩音乐
mastersinger	=Meistersinger
unfading	永不辜负期望
suggestive	启发
woadwaxen	=dyer''s
smithereen	把……炸成碎片
earnest	认真的
clericalism	任圣职者不正常的政治势力
waec	West
nark	密告
prejudiced	怀偏见
unconvincing	不足以令人相信的
nedda	内达
abrase	磨损
aarp	Address
notional	表意的
fibbery	无伤大雅的谎话
osb	St
busier	比较忙碌
sebacic	由癸二酸衍生的
hemimetabolous	不完全变态中的
pert	活跃的
demoniacal	狂暴者
poor	乏味的
solubility	溶性
glucinium	铍
genealogical	系谱
comate	多毛
unrelenting	无情
unfordable	不能涉水而过
mercantilist	重商主义者
discipleship	做弟子的身份
larch	其木材
kiowa	基奥瓦人
thatchy	多茅草的
tarantula	鸟蛛
catface	畸形
choosey	好挑剔
apospory	无孢子生殖
pullulation	充满
cobdenite	科布登主义者
homoeothermic	温血的
lampbrush	chromosome
fallacious	令人失望
cloud	玷污
holistic	全盘的
squanderer	浪费者
time	节拍
victor	胜利者
civil	文职
coypu	南美洲产的一种水栖动物
socotra	索科特拉岛
tcp	传输控制协议
athirst	渴望的
intersymbol	符号间
depasture	放牧
subdue	征服
booter	足球或橄榄球球员
exserviee	退伍的
sphalerite	闪锌矿
fuliginous	煤烟
nikethamide	可拉明
offramp	驶出坡道
striptease	跳脱衣舞
cruel	悲惨的
visuomotor	视觉眼肌运动的
puristical	修辞癖的
autoptical	实地考察
level	水平面
final	报纸最晚版
tumultuary	混乱
calumet	和平的象征
touchstone	标准
respirometry	呼吸运动计量法
subtersurface	表面下
quadriennial	=quadrennial
pressure	电压
scant	缺乏的
tellable	值得说
unsleeping	时刻戒备
relativize	把……视为相对物
mu	字
tap	轻叩
tubful	一桶
bacteroid	细菌状
corneous	角质的
furibund	愤怒的
pieplant	食用大黄
homebred	没有教养
ftc	Trade
belabour	不断辱骂和嘲弄
alcides	阿尔喀德斯
corollaceous	花冠的
sprig	年青人
anode	正极
pukras	=pucras
jazz	跳爵士舞
novel	新奇
leeriness	狡猾
incretionary	激素的
gingham	有条纹或方格纹的棉布
disunion	分裂
adviser	指导老师
royal	高贵
calling	职业
screenland	电影界
serious	认真
eximious	杰出
capsular	蒴
critique	批评
invidiously	不公平
wolflike	狼似
discombobulate	使混乱
soundproof	隔音
starveling	挨饿
jump	暴涨
pinnated	鳍之类
parolee	获假释者
venomous	狠毒
cask	桶
attestant	证明
avp	抗病毒程序
stingray	黄貂鱼
key	钥匙
expropriation	征收
highchair	小孩吃饭时所用之高脚椅子
nasally	鼻地
ominously	恶兆地
gorge	山峡
key	栓
scoundrelism	无赖
morpheme	词素
chainbridge	铁链吊桥
serenely	安详
tactical	战术
subliterate	略具阅读写作能力的
affection	爱情
jerk	肌肉抽搐
petrolatum	矿脂
protuberance	结节
ini	初始化设置文件的后缀名
squamaceous	鳞状
lowlands	苏格兰东南部的低地
query	怀疑
aftercare	安置
unilateralization	单向化
incontinent	荒淫的
subrent	分租租金
hydrolytic	水解
pintle	舵栓
jesuitical	狡猾的
nccj	Conference
energize	给予精力
professorate	全体教授
amaryllidaceous	属石蒜科
tail	尾巴
sinter	使烧结
esophageal	食管的
asprawl	伸开手足躺卧的
lycopodium	石松属的植物
bagpiper	吹风笛的人
unfenced	没有篱笆
sabotage	破坏
hodgepodge	大杂烩
sate	过分的给与
traumatologist	创伤学专家
abbreviatory	缩略的
smacksman	小渔船的船员
normoblast	正常红细胞
force	武力
tideway	感潮段
irrepleviable	不准具保领回
hyperpnoea	呼吸过度
chloracne	氯痤疮
jeeringly	嘲弄地
supercolossal	超大
possie	职位
carbachol	碳酰胆碱
disorder	混乱
albomycin	白霉素
popularity	普及
chronotron	瞬间计时器
appellate	受理上诉的
cashboy	传递现款的小孩
predecessor	前任
belligerent	交战国的
nobly	崇高
redeemable	可赎回
landsat	卫星
course	运行
tyrolean	提洛尔区居民
concern	所关心的是
uplift	升起
pigheaded	固执的
atrocity	凶恶
rtl	Resistor
bouncing	巨大
murrhine	默勒石制的
correctional	修正的
hopeless	绝望
inexpectant	未预期的
roomie	=roommate
salvationism	救世军之教义
pronominal	代名词性质的
yieldingness	易弯曲
lanceted	有尖拱
vegetative	有关植物生长
pedestrianize	使成为行人专用区
pauline	使徒保罗
dakoit	强盗帮员
viron	瓦伊伦
duodecimal	十二进制的
klutz	笨手笨脚的人
skidder	集材道横木
distensile	会膨胀
trailing	曳尾
enthrallment	沉迷
becility	聪明
unadvised	未曾受到劝告
diastem	沉积暂停期
quarterfinalist	四分之一决赛选手
ululate	啼
workpeople	工人们
rubble	碎石
spherical	球形的
observantly	敏锐
eolian	风的
aqua	浅绿色的
fertility	人口生产
grungy	脏的
ordonnance	安排
comparable	比得上
spongy	像海绵的
derivative	派生的事物
unaverage	杰出的
rpq	request
iniquitously	不正地
muttonhead	笨人
ploughshoe	犁托
breezee	微风
dewy	带露水
ataractic	镇静剂
vinous	葡萄酒的
vop	valued
nummulary	货币
qarnns	Service
waistline	腰围
janissary	土耳其兵
fenestra	似窗的小开口
blueprint	制成蓝图
cretin	白痴病患者
cryogeny	=cryogenics
pooftah	搞同性恋的男子
farmyard	农场建筑物周围的空
examinationism	考试论者
matamoros	马塔莫罗斯
wysbygi	See
umber	涂红棕色于
during	在……的时候
necrotic	骨疽的
reparatory	=reparative
inswing	内弧线球的运动
veil	掩饰物
more	更多
gravely	严峻地
saltillo	萨尔提略
unorganized	无组织的
usableness	使用方便
utilitarian	功利论者
misadventure	运气不佳的遭遇
duds	衣服
senhorita	小姐
turnstile	十字转门
kingstown	金斯敦
dendrophilous	爱树
telengiscope	显微望远镜
planetesimal	星子的
catarrhal	卡他
nectar	花蜜
martially	好战
vend	公开发表
surplice	斜叠的
nonofficeholding	下台的
unsocial	非社会的
sheepshank	缩结
overjoy	使大喜
literalist	拘泥字义者
rocking	摇摆的
regain	收回
cochlear	耳蜗的
sabbathbreaker	不守安息日的人
fable	谎言
uric	取自尿中
feterita	非洲芦粟
elburz	Mountains厄尔布尔士山脉
cockspur	鸡距
momentous	重要的
jildi	忽忙
octal	八进制的
essential	提炼的
rascallion	恶棍
mournful	悲哀
claustrophilia	喜好幽静的癖好
trisyllabic	三音节的
swimmingly	顺畅
vigilantly	警觉地
fratch	吵架
gyrose	回状
uptown	在城镇非商业区
circumstantiate	详细地说
unobstructed	不被阻塞的
whitewash	用石灰水把……刷白
bovril	Bovril保卫尔牛肉汁
golden	极好的
spermatocide	杀精子剂
stub	连根拔除
thibet	=Tibet
satiny	光滑的
sprawl	蔓生
reducible	可减少的
airwoman	女飞行员
jo	Jordan
rude	粗鲁的
truest	确实的
nowhence	无论来自何处都不
rearmament	改良装备
paniculated	圆锥花
thoroughwax	圆叶柴胡
quilter	缝被子的人
primage	运费贴补
unnumbered	未编号的
nubian	努比亚人的
rap	斥责
aerolite	陨石
polarogram	极谱图
verbalization	以言语表现
error	过失
nubilous	多云的
shutterbug	摄影爱好者
cap	军帽
gun	炮
antiulcer	治溃疡的
audiometric	测听术的
lithotritist	膀胱结石碎石专科医师
underline	在……下面划线
idioglottic	自我语法的
ingot	锭铁
twu	America
envy	嫉妒
favour	亲切
rigidify	僵化
battlewise	身经百战
lipper	浪花
lampholder	灯架插头
petasos	赫耳墨斯的有翼帽
scrapground	=scrapyard
unapproved	未经同意
staves	棍
proprioceptive	本体感受的
flaring	发光的
seigniorial	领主的
confounded	讨厌
eastwardly	从东方
wattless	无功率
chantable	可歌的
ettu	布鲁特斯!
naad	=nada
sel	=self
soap	Object
forswore	为forswear的过去式
mill	碾磨
spasmodism	突发的情绪
positive	肯定的
krantz	悬崖
charge	控诉
medaled	接受奖章的
niedersachsen	Saxony
ethanolamine	胆胺
knurr	节疤
countrify	使土里土气
abcd	Business
irrespective	无关
lenticellate	产皮孔的
flighty	反复无常的
positive	确实的
festucine	稻草色
equitable	公平
approver	承认者
impressive	感人的
he	He
unblest	受诅咒
hydrodesulfurization	=hydrodesulphurization
fast	禁食
lallan	苏格兰低地的
legalize	使合法化
unboundedly	无限制
unreaped	未收割的
interrupt	打断中断信号
ingrained	彻底的
offscouring	废物
resplend	发亮
dazzle	耀眼
cripplehood	残废
nailless	不用钉
autoput	高速公路
uncopiable	不能抄写的
pruning	修枝
overrule	驳回
mystification	神秘化
nonarticulate	不连接
soulful	感情上
diabolology	魔鬼研究
pedology	儿科学
orchidaceous	兰花般的
gi	Gibraltar
adas	and
excudit	]
berdache	北美印第安人男性的异装癖者或同性恋者
pentode	五极真空管
holotypic	正模标本
scheme	计划
italian	意大利语的
garrigue	=garigue
carbohydrase	糖酶
bba	of
choice	精选品
ac	Armored
fungi	似真菌
snipping	碎片
untrodden	杳无人迹的
druidic	督伊德教徒
rematch	重赛
couth	文雅
tandjungpriok	丹戎不碌
varuna	伐楼拿
triliteral	有三个字母
prominently	显著地
tarsal	跗骨
endangered	将要绝种
riflery	射击技术
mdccclxxxviii	罗马数字
running	连续的
trailerite	乘拖车式活动房屋旅行者
singularity	异常
westward	西部
regal	帝王的
material	布料
olefin	石蜡
willa	威拉
nullification	使无价值
guggenheim	fellowship
orad	向口
ligamentary	韧带
carmine	深红色
hampshire	汉普郡
adjacence	接近
geometrise	=geometrize
hopping	卖力
diggable	可挖掘的
hematogen	血色蛋白元
rusty	生了锈
protanope	红色盲者
discoverist	发现教学法
lignose	木浆硝化甘油炸药
approbatory	认可的
confessionary	告解所
vmd	兽医学博士
reg	雷吉
acidness	不悦的样子
pennatula	pen
internuncial	联络
obstetrical	助产的
neglige	家常服
griselda	顺从而有耐心的女人
mercuric	水银
unsoiled	未被破环
outer	外面的
heterogen	异型杂种
boule	梨形人造宝石
sioux	苏人
ungainliness	丑陋
toothsome	美味
nonallergenic	不会引起过敏的
netted	网状
reginal	女王的
rightly	正当地
hygeian	健康
corba	Architecture
ragamuffinly	流浪的
done	注定要完蛋
intruder	入侵者
thioacetamide	硫代乙酰胺
automorphism	自同构
altorilievo	隆雕
seditionary	骚乱煽动
mouthless	无孔的
dpn	diphosphopyridine
aids	爱滋病
sannup	印第安已婚男子
str	submarine
terroristic	恐怖主义
communicate	传达
itn	Television
chlamydate	有外壳
antimicrobial	抗菌
gotha	哥达
galactopoietic	催乳剂
viscerogenic	发自体内的
rush	灯芯草做
zenithward	向天顶
crinoline	四周鼓出的裙
lacunosis	网状
amputator	切断者
attempt	努力
minorite	小兄弟会修士
mossiness	生苔
aglow	发红的
middling	中等
moony	恍惚的
jingoish	侵略主义
saddlery	马具
interception	拦截
tunnage	总吨数
beguilement	欺骗
unobjectionable	婉转的
adultery	通奸
solenodon	沟齿鼠
airsick	患航空病的
sauceboat	船型酱油容器
verticil	环生体
dysthymic	心情恶劣
spiriferous	有螺壳的
garuda	揭路荼
vitriolic	讽刺
inconsequently	不合理
nork	奶子
feed	流入
tyro	新手
bumptious	傲慢的
subtitle	副题
aldermanry	市府议员或参事之职位
serriform	锯齿形
counterplot	用反计
learning	学
lotic	激流
mumm	=mum
subeditor	副主编
unroyal	非君王
degradative	使下降的
seedtime	播种时期
frutex	灌木
stalwart	坚定
turn	旋转
removalist	搬运工
eoka	为塞浦路斯而斗争全国组织"
ilici	为西班牙厄里奇市的古名
ratify	批准
crabbed	乖戾
prosper	使成功
slimline	细线电缆
myxasthenia	黏液分泌机能衰弱
powder	搽粉
disseminule	传播体
legislation	立法
wabbly	不稳定的
decinormal	分当量的
acanthoid	刺状的
nooky	多角隅的
discourteous	无礼貌的
various	多样的
felv	virus猫白血病毒
condole	慰问
bushy	浓密
negabinary	负二进制数的
fettle	状态
rylean	赖尔理论
threaten	似有发生或来临的可能
fubsy	肥胖的
biocoenosis	生物群落
groovelike	老一套的
x	罗马数字10
peaceably	和平
swart	有毒的
logograph	语标
quaky	战栗的
ahimsa	非暴力主义
pentagonese	五角大楼行话
logy	呆呆的
hyena	鬣狗
nymphae	若虫
hayrack	装有草架之货车
twirl	万能钥匙
isobathytherm	等温深度线
anymore	不再
stealthy	掩人耳目
function	职责
dural	硬脑膜
zaratite	翠镍矿
agedly	老态龙钟地
receptivity	感受性
dispersion	差量
greaser	加油器
theonomous	由上帝统治的
compressional	有压缩性
ddn	Data
thug	凶手
unstable	不稳定的
abcd	Delivery
fidelity	诚实
corruptible	易腐败的
hircine	山羊的
vugular	含晶簇
myotic	促成瞳孔缩小
thecodont	槽齿类
yew	紫杉木
unredeemable	不能收回
smack	带有……风味
scar	疤痕
spaceman	太空船上的飞行员
philhellenic	爱好希腊
moreton	fig大叶榕
crossgrained	纹理不规则的
creatine	肌氨酸
rap	Projectile
roily	搅浑
dawk	驿站马车
handstaff	连枷柄
pentobarbitone	=pentobarbital
predicability	可断定
scant	不足
seething	火热的
intercollege	=intercollegiate
intelligibility	可理解之事物
oligophrenia	=mental
spin	纺纱
despotic	暴虐
caudillo	元首
quacksalver	庸医
laudable	值得称赞
adsorbent	吸附的
ceramics	制陶业
hunt	猎获
aja	ancestry
eldo	European
unimpeached	无可指摘
phosphorescent	发出磷光
scatter	散开
leal	诚实
coruscation	闪光
aerially	空想地
underage	未到法定年龄
fob	混骗
diversely	各色各样
amiss	出差错
sacahuiste	诺力草
matte	不光滑
trichopteran	有毛翅
wow	叫声
deficiently	不充分地
mouthiness	爱说话
trillionth	第一百万兆
obcompressed	倒扁形的
furious	狂怒的
thundering	非常的极大的
foziness	肥胖
goonda	暴徒
incompetent	不合格
keckling	包缆绳
xylotile	换质石棉
unjustly	不义
bahamian	巴哈马
polyhedric	多面的
hemiplegia	半身不遂
wondrous	令人惊奇
unsound	不佳
eccentrically	离开中心
welldoing	善行
rimous	多裂口的
unentertained	未得到娱乐
thankfully	感谢
unlooked	未经检查
abrader	磨石
daee	航空工程学博士
sadly	悲痛地
fit	合适的
thiomersal	邻乙汞硫基苯酸钠
exactitude	正确
unfaltering	坚决的
lenore	勒诺
manageable	易处理的
cosily	惬意
nympho	慕男狂
brushy	如毛刷
posttonic	重读音节后的
membranate	似膜的
varnish	掩饰
reimpression	增印
trigonal	断面呈三角
demand	要求知道
gadfly	牛蝇
iodoprotein	磺蛋白
somnambulary	梦游者
jeepable	可通行吉普车
unsearched	没有寻找过
canaliculated	有细管
cineaste	热爱电影者
spc	South
curtail	缩减
shorthanded	人手不足
procuratorship	procurator
tosh	胡说
crudity	生硬
supracrustal	上地壳的
bac	酒桶
gamb	胫
extraparliamentary	非国会所能控制的
hand	掌管
valeric	颉草
ocdm	Defense
supplely	易弯
vapor	无实质之物
savable	可救
vitellogenesis	卵黄生成作用
gftu	Unions工会总联合会
oleic	自由采取的
revolve	旋转
wardian	case
social	群居的
rightable	可纠正的
eyewink	霎眼
executorship	遗嘱执行人的职责
yankeeland	美国
overturn	翻倒
bmw	Works
practicism	务实主义
impervious	不受影响
electoral	选举人
intensify	强化
judaeophil	善待犹太人的
buoyancy	浮性
eia	Electronic
aggressive	敢作敢为的
malodorous	有恶臭的
virulency	恶意
curvilinear	由曲线而成的
skulker	偷懒的人
upward	以上
nagger	爱唠叨的人
traditional	口传
chemotropically	向药性地
annihilable	可毁坏
flaringly	华丽而俗
gentilesse	礼貌
exacting	严格的
carboniferous	含碳或煤
commensal	同吃
mythological	神话学的
corollary	推论
stupa	佛塔
staple	大宗生产
produce	生产
toby	人形水罐
situate	使位于
sudatory	发汗药
enigmatize	使成谜
ran	run的过去式
autotruck	运货卡车
explode	破除
checkbox	检验盒
cogent	使人信服的
pogonia	朱兰花
khalkhas	柯尔克孜族
ringwise	成环形
everyday	平常的
delivery	交货
ileitis	回肠炎
synechia	虹膜黏连
overnutrition	进食量过多
feathery	生有羽毛的
ferly	奇异景象
tumescent	肿胀性的
sagaman	萨迦叙述者
untoward	困难的
tagboard	运货标签纸
hologynic	限雌遗传的
suez	苏伊士
eagle	鹰状标饰
sexual	有性
callboy	唤演员按时上台之人
reverberatory	反射
unsoldierly	不像军人的
hideously	可怕
monachal	僧院
intercessory	调解
anomy	混乱
buttlegger	不法香烟贩子
beatification	授福
grown	长大的
hotly	暑热地
pedagese	教师行话
sore	疼痛
exabyte	美国Exabyte公司是全球著名的磁带机及磁带库专业化制造商
abjectly	卑鄙
fugacity	不安定
tansy	艾菊
unnilquadium	104号元素
decrement	消耗
slide	滑动
jaques	贾克斯(一译杰奎斯
contoid	像辅音的声音
transpersonal	超越个人的
incidence	入射
finish	用完
azygos	无对偶的部分
reliant	信赖自己
zowie	呦
equanimously	安静地
unthoughtful	考虑不周
nontitle	赛的
sneering	嘲笑
wheeled	有轮的
isotropic	等方性的
uniform	统一的
orthocephaly	正头型
boatyard	船坞
telophase	末期
coownership	共同所有
olivenite	橄榄铜矿
paperweight	书镇
last	最近
asonant	无声音的
mythomania	说谎狂
mortally	凡人般
msie	of
bragger	吹牛
gutty	挑动性的
