before	在……之前
stearin	硬脂酸甘油油酯
pundit	梵文学家
finestra	孔
reader	读卡机
wandering	徘徊
unduplicated	无法模拟
tempestuousness	剧烈
delay	迟滞
feculent	不洁的
confect	调制
climacteric	转变期
barbarous	粗野的
rena	丽纳
fenestella	窗状壁龛
humongous	其大无比的
associate	同事
evaginable	翻转的
cyclopic	巨大的
cantate	圣经旧约诗篇第98
clerestory	天窗
passover	逾越节
forestall	阻碍
clipped	省略一部分的
corking	很好
disfranchisement	剥夺公民权
ornl	National
utriculate	=utricular
vhf	甚高频
fatheaded	愚钝的
psychotic	精神病患者
atwitter	紧张的
bile	愤怒
oenophile	嗜酒的人
title	用作书名
capsize	倾覆
boney	=bony
whorl	涡
lola	洛拉
ruffianly	残暴的
univocal	单一意思
concomitant	伴随物
weanling	刚断奶
glossotomy	舌切开术
counterstroke	反击
elimination	消灭
bergamot	香柠檬
stepdance	踢踏舞
bucketful	一桶之量
say	讲
mordida	勒索
anthropolater	人类崇拜者
baddeleyite	斜锆石
unfluctuating	稳定
tricrotic	三重搏的
resite	给……择新址
hemigroup	半群
festive	节日似
monk	修道士
brix	白利糖度
overcanopy	以帐蓬覆盖
squash	拥挤的人群
nasty	下流
manifestation	显示
inegalitarian	不平等
propeller	飞机上的螺旋推进器
abidingly	永久地
uranic	星学的
joycean	乔伊斯的
differentiable	可区分
wider	宽
agonisingly	苦闷
spizzerinctum	雄心壮志
witch	施巫术
mercuric	水银的
dullhead	傻瓜
pityingly	可怜
vernal	春天发生
pauperism	有被救济的资格
anatole	阿纳托尔
nestlike	巢状的
elbert	埃尔伯特
coed	男女合校大学中的女生
proceeding	会议录
microlithic	细石器的
gsm	communication
erumpent	裂出
nonorgasmic	不能进入情欲高潮
caravan	沙漠
trichologist	毛发学者
flagellate	鞭挞
feedback	回授
phagocytosis	噬菌作用
ubiquity	到处存在
vasodilating	血管舒张的
exegetical	评释
strawy	稻草状的
incendiarism	放火
adventureful	富于惊险事件
guenevere	格韦纳维亚
fuel	得到燃料
exclaim	惊叫
branch	出现分歧
rodman	垂钓者
distortive	曲解的
boiler	汽锅
failure	不及格
girdle	绕
general	概要
brevirostrate	短喙的
dyeable	可染色的
true	真实的
rosamund	罗莎蒙德
unyieldingly	不屈服
strata	的复数
transmutative	变形的
serenely	沉着地
gladiatorial	斗剑者的
ideation	思维能力
sunder	分离
spleenful	脾气坏
slack	软弱
unguardedly	不留神地
rostellate	有小喙
stenciller	模板印刷工具
consuetudinary	惯例上的
philogynous	爱慕女子
collapsar	为blackhole之别称
intacta	未经触动
chingkang	Mountains见Jinggang
underlet	转租
accustomed	习惯
tetrachloromethane	=carbon
weatherglass	温度计
calisthenic	美容体操的
cosmetologist	美容师
crisis	危机
plosive	爆破音
fifteenfold	十五倍的
defoliant	脱叶剂
demisable	可让渡
pebble	小鹅卵石
selenous	=selenious
caliper	弯脚器
statutable	法规的
oppidan	城里
sociocentrism	社会中心论
polymeric	聚合体
outspent	的过去式和过去分词
maritime	海运
avail	有用
alexin	杀菌素
parasympathetic	自主tIk/
rising	上升的
smithy	锻冶匠的工作场所
peregrin	外国的
farfal	=farfel
endoglobular	血球内的
privilege	基本公民权力
outen	从…………里面
insomnia	失眠
hydropathic	水疗法的
devotement	虔诚
vitriform	玻璃状的
scalar	分等级的
flightily	浮躁
page	页
sleuth	警犬
counterpart	配对物
retributory	=retributive
vain	愚蠢的
catenary	悬链线的
dry	干
bloodsucker	剥削者
poc	call
groundage	进港税
inadvertency	怠慢
cinchonize	使金鸡纳中毒
inconvincible	无法使人信服
epithalamium	喜歌
unimpassioned	不感情用事的
glycose	单糖
gyrose	波状
refulgent	灿烂
deportment	举止
url	Resource
nrotc	Corps
zinnia	鱼尾菊
bosket	丛林
semilogarithmic	半对数
revulsive	诱导
incondite	粗劣的
virogenesis	病毒形成
distortionist	漫画家
slouchy	没精打采的
choplogic	诡辩
limy	涂有鸟胶
brier	荆棘
alchemistically	炼金术士地
innate	天生
vulvae	女阴
unsuccess	不成功
sclerometer	硬度计
muciferous	充满黏液
opposed	敌对的
vanish	消失
fretsaw	线锯
pleochroism	多色性
jensenism	詹森理论
unpitying	无恻隐之心
mustardy	有芥末味
drolly	诙谐地
ersatz	人造
sealwort	甘萆解属的植物
alcometer	测醉仪
brim	注满
macrocephali	macrocephalus的复数
turnverein	体育协会
remnant	残余
wallpaper	墙纸
rift	裂缝
trichopathy	毛发病疗法
unvanquishable	不能克服的
subepidermal	表皮下的
segregator	分离者
ippf	Parenthood
ruth	鲁思
tell	说
superacid	太酸
mend	改进
chalcedonic	坚强
traditional	惯例
rule	裁决
tipple	饮烈酒
willed	有某种意志
vilma	薇尔玛
gager	计量者
tonality	音调
emplacement	放列动作
spend	消磨
subdual	抑制
nondollar	非美元地区的
sloppy	肥大的
retract	所卷
miscreated	丑
syncretize	结合
equilibratory	保持平衡的
fidelismo	古巴革命主义
monterrey	蒙特雷
decentralise	=decentralize
deceitfully	骗人
dirndl	紧身连衣裙
rotogravure	照相凹版
tights	紧身衣
nattily	整洁
camauro	教宗所戴之红帽
blacketeer	marketeer
polymolecular	几个分子厚度
diatribe	诽谤
maiden	纯洁的
xpvm	for
fecund	多产
sick	有病的
optima	光体字体
skee	滑雪
shoreless	无法上岸的
communique	公报
supereminent	极为出色的
flimsy	脆弱的
awe	敬畏
autofocus	自动对光装置
pleiotaxy	多轮式
gdr	原德意志民主共和国
muddily	污浊地
cultivable	可耕种
downstairs	下楼
ointment	油膏
preexilian	犹太人被放逐至巴比伦以前
sluttish	懒惰
suborning	行贿
bluebeard	残酷的丈夫
scapular	肩
creationary	创造性
larrigan	上油高统皮靴
unimpugned	未受怀疑
inept	不称职
antipathetic	讨厌
illusionism	幻想说
fy	year
overdetermine	由多种因素决定
emancipatory	有助于解放的
houseless	无房屋的
endoplasm	内质
armour	装甲钢板
hindermost	最靠近后方
construable	可做……解释的
bookable	可预订的
shoddy	翻制的
presto	极快
uropygia	uropygium的复数
hazardous	碰运气的
inverse	倒转
preoral	口前
dopehead	常用鸦片者
intranational	一国之内的
burning	强烈的
farmy	有田地的
recertification	换发新证
pushmobile	手推玩具汽车
ochreous	含赭石
embryoctony	碎胎术
chirk	快活的
helicline	螺旋状坡路
wampumpeag	白贝壳串珠
pedicular	虱子的
royal	王室的
leave	动身
dehumanize	使失掉人性
dishy	有魅力
deadbeat	游手好闲者
summit	政府首脑
grozing	iron用于烫平铅管接头的烙铁
uncustomed	未付关税
abby	艾比
nam	nim的过去式
functionary	机能
decamethonium	十甲季铵
able	有才能
elegant	上品的
carbenoxolone	生胃酮
lawsoniana	=Lawson
hatful	很多
chresard	可用水量
atone	弥补
redrill	再次条播上作再次条播
accomplishable	可完成
fissile	可分裂
menad	心情暴躁的女人
bumptious	盲目自大
unapproved	未经批准的
victualage	饮食
shunless	不可避免的
difficult	难相处
valued	经估价
hydrofluoric	含氟化氢
walloping	巨大的
stepwise	逐步的
exoteric	普通
text	正文
overdose	使服药过量
warpwise	经向地
metier	职业
rhinopolypus	鼻息肉
sugariness	象砂糖
denticulate	有小齿状突的
cymous	聚伞状
uncomforting	不舒适的
rarest	最珍贵
metaboly	新陈代谢
ruffled	有褶饰边的
auxiliary	补助的
formulize	用公式表示
apiarian	蜜蜂的
masticatory	咀嚼用
mores	道德观念
sleepful	睡得很安宁
empiric	经验主义者
nutsy	发疯的
spumescent	起泡沫的
polder	开拓地
virogenesis	病毒产生
strappado	处以吊刑
sporicidal	杀孢子
navigate	航行
massy	巨大
isogamous	同配生殖
devoid	缺乏
difference	差别
yieldly	生产地
driegh	=dree
desacralize	使世俗化
sakellarides	萨克拉里德斯棉
spinstress	=spinster
inarguable	没有疑问的
zapu	African
livery	侍从
sulfonmethane	=sulphonmethane
super	过分
seconde	击剑中一种防守姿势
inequilaterally	不等边地
unfortunate	不吉利
rear	培养
retro	制动火箭
compound	混合
fidelity	逼真度
billycock	小礼帽
checked	棋盘状的
upbraiding	谴责
gasless	不产生气体的
denudate	裸体的
coyote	山狗
jade	疲倦
inflammable	易怒
cinerama	西涅拉玛型立体声宽银幕电影
vancouver	范库弗峰
unemployable	不能受雇
bowyer	射手
bnoc	Oil
meliorative	改善的
devildom	魔界
beatle	小妞
softish	有点软
apolitically	非政治地
desultory	断断续续的
chloralism	三氯乙醛中毒症
outvalue	价值高过
randomicity	任意性
cornball	不懂世故
anzac	2澳新军团
scalprum	骨刮
band	乐队
apterous	无翅
subaltern	下
microassembler	微汇编程序
confection	糖膏
jayhawking	盗窃
downstage	在舞台前
interconvert	互换
brontosaurus	雷龙
refulgent	辉煌的
antienzymatic	抗酵素
eschatological	末世学的
tumidness	突出
jacksonian	杰克逊思想的
suety	牛脂一样的
guile	诡计
farinose	生淀粉的
hermaean	赫尔密斯方形石柱
postoffice	邮局
determinatum	受限定部分
shakable	可摇动的
granuloma	肉芽瘤
seize	逮住
pots	Service
incomplete	不完善的
aim	瞄准
sink	水池
wattle	金合欢树
learner	学习者
blastula	囊胚
annectent	连接的
unload	卸货
atheneum	文艺协会
parament	装饰帘帷
helicoidal	=helicoid
ostracize	放逐
impendency	危急
dexiotropic	右旋
hydremia	稀血症
carotin	胡罗卜素
safely	确实
pachysandra	富贵草属长青地被植物
error	误差
by	Belarus
jeton	投币电话筹码
rodent	嚼的
probe	探针
deltawinged	有三角翼
geisha	艺妓
medium	中等
hurtless	不会受伤
transcurrent	横亘的
pathbreaker	开拓者
land	地带
casework	生活环境调查
uranalysis	=urinalysis
stippling	点画
aggravating	恼人的
arkansan	阿肯色州人
dyadic	双值的
supermundane	非现世
bulky	体积大的
demology	人口统计
trunk	箱形的
lentigines	痣
suddenness	突然
dynamoelectric	电动的
cobblestone	圆石
schrod	=scrod
stilt	支柱
accrete	合生
symbiote	=symbion
nagmaal	举行圣餐仪式的时刻
rebore	镗大的孔径
identifier	标识符
tweak	拧
whither	无论到哪里
substratal	基础
viatic	道路的
pathbreaking	开创性的
hera	High
whippy	鞭子一样
slashing	乱砍的
raises	加薪
tinned	镀锡的
unlikely	靠不住
feoff	封
squally	天气愈变愈坏的
lamby	多毛如羊
source	源
sink	水槽
peg	坚持不懈地工作
distilment	蒸馏法
impastation	着色浓厚
unbefriended	无人扶助的
seed	去……籽
subvert	暗中破坏
bactrian	大夏
cast	一瞥
blessedly	幸福地
injective	内射
jetty	码头
sericterium	泌丝器
screeve	告地状
fmi	Mon
krill	磷虾
grub	幼虫
sparkish	俊俏的
stateside	美国本土
fanciness	空想
blackhearted	心肠黑的
couchy	茅草丛生
squashy	熟透的
pregnable	可攻击的
munition	军需品
azonic	非地方性
barbaric	粗野的
bum	闹饮
americologue	研究美国社会的学者
spermic	种子
phi	个字母
prefatory	序文的
rejuvenate	使回春
indefinably	不明确
pietermaritzburg	彼得马里茨堡
aeronaval	海空联合
swordbill	刀嘴蜂鸟
lumpenproletarian	`lQmpEn9prEJlI`teErIEn/
amusedly	开心地
emanate	发源
kummel	莳萝利口酒
ibew	国际电气工人兄弟会
prenatal	出生以前的
domesticity	专心于家务
pertinacious	固执的
patchouli	广藿香油
regimental	团
rail	以横木围栏
snug	暖和的
goethean	歌德的崇拜者
working	经营
fray	磨损处
leaden	沉重的
snipe	狙击
jugal	颧骨
plebiscite	公民投票
pine	消瘦
prolusion	序言
basso	低音部
irredeemable	不能兑现的
spode	斯波德式的
hardhat	建筑工人
waylay	埋伏
tendencious	宣传性
villainy	邪恶
scholar	学者
imam	阿訇
startler	令人惊骇的人或事件
shading	描影法
created	创造的
radiesthesia	感应力学
handshaking	握手
monte	始于西班牙的纸牌赌博游戏
goshen	肥沃的土
guesthouse	上等旅社
discriminatory	有辨识力
misprize	轻视
embolize	栓塞
excitatory	兴奋
moneygrubbing	积蓄钱财的
spindlelegs	细长的腿
nextel	"纳克斯泰尔"人造血
ondometer	频率计
evader	逃避物
rim	轮缘
sigmate	S形
alkyl	烷基的
syncretic	类并的
burdensome	难以承担
craniate	有头盖的
crafty	狡诈
lawfulness	合法
metagalactic	总星系
flagellatory	鞭打的
toluca	托卢卡
separative	有分离倾向的
girlygirly	娇气十足
choleraic	霍乱性的
quizzy	爱查问的
trough	木钵
theologian	空头理论家
unsharp	不锐利
vulgarity	粗俗
age	成熟
erotological	色情文学的
archiepiscopacy	大主教
cyanine	青蓝
valetudinarian	dI`IEn/
savoury	开胃的
circumglobal	围绕地球旋转的
practised	老练的
ethnarchy	总督的身份
precatory	委托
mfn	最惠国
incertitude	不确定
mycetozoan	变形菌
flatly	平平
score	二十
fifa	de
sabian	塞比教徒
renature	复性
geogenic	球成因学
restively	倔强地
indifferent	无关紧要
chrysarobin	柯桠素
dissociability	孤癖
spray	喷雾
bland	温和
skein	一团糟
duodecagon	十二边形
malleate	将……锤薄
iced	冰冷的
intermarry	通婚
ssfdc	Card
literarycritical	文学批评
minty	有薄荷香的
preteen	接近青春期
isa	Architecture
defensive	自卫的
quatercentenary	400年的
mendable	可修理
lacustrian	湖的
contain	容忍
nereid	涅瑞伊得斯
voluntary	主动
boondocks	森林地带
senarius	抑扬格的三音格诗句
monomaniacal	对一事狂热
prevailing	流行
endoscopic	内窥镜检查
isogeneic	同基因
reinforce	增援
bluet	开蓝花的植物
sap	体液
xeransis	干燥
doughty	勇敢
flow	泛滥
dimness	微暗
acd	自动呼叫转发器
unread	无学问
sequentially	继续
backhanded	间接的
deterrence	妨碍物
ruffly	起皱的
pearlescent	光芒四射的
microfolio	微型文件夹
incretion	内分泌物
succussatory	摇动的
directorate	理事之职
macerate	浸软
filly	活泼的
pereiopod	胸部附器
ebb	弱
recreation	消遣
proteide	蛋白质
flub	弄糟
dissyllable	二音节的单字
cadmiferous	含镉的
gis	system
giggly	傻笑的
tablet	碑
arrisways	对角
zif	Zero
eunomia	欧诺弥亚
fremd	外国
petrologist	岩石学家
unforced	不费力
wisdom	学识
absquatulater	开小差者
taxis	整复法
unreactive	化学上惰性
dioptometer	视力计
brachiate	十字对生
ophthalmitis	=ophthalmia
drupaceous	核果性的
nanoplankton	=nannoplankton
phonetically	按照发音地
cock	使耸立
fractious	倔强的
ue	美国电气、无线电和机器工人联合会
aerogramme	无线电报
serf	农奴
anlage	倾向
sensibilia	可被感知的事物
resinous	含树脂
ethanolamine	乙醇胺
neurosurgery	神经外科
graininess	多粒的
flighty	轻狂的
additional	额外的
griseous	珍珠灰
oogonium	卵原细胞
preferential	特惠的
irreproducible	不能再现的
pedes	的复数
haunting	不易忘怀的
supercoil	超螺旋
miaul	猫的叫声
zesty	兴致很高
bloodshot	有血丝
scalpriform	凿形的
ghibli	朝向风
arthrotomy	关节切开
caginess	狡诈
congius	一加仑
floriate	用花卉图案装饰
muslim	穆斯林
rate	被评价
purgation	净化
paroemiographer	谚语汇编者
foamflower	泡沫花
able	能够
contention	争论
immethodical	无次序
ecliptic	蚀
leafed	有叶子
auteur	电影导演
cacti	仙人掌
twine	合股线
convincing	令人信服
timbered	木造
noninstallment	非分期付款
etesian	季节风
counterpane	床单
intrenchingtool	挖壕工具
poise	悬着
csce	Europe
broomball	类似曲棍球的球戏
platinoid	假白金
outside	外表
circumgalactic	环星系旋转的
beastly	令人不快
discharger	卸货人
extract	选粹
biovular	二卵生的
intervene	干涉
hand	搀扶
azalea	杜鹃花
log	园木
proptosis	前垂
garrison	要塞
tribromoethanol	三溴乙醇
dinitrophenol	二硝基酚
strudel	以果实或干酪为馅而烤成的点心
masturbatory	手淫的
opponency	反对
subaltern	副官
golan	Heights戈兰高地
mnas	the
intrigant	私通者
colloidal	胶质的
untaa	Administration
tedder	翻晒机
kandy	康提
blazon	纹章
tensor	张量
monostome	具单盘
blinking	闪光
forementioned	上述
trailer	追踪者
fen	沼池
sempiternal	永恒的
valediction	告别词
miscible	易混合的
swannery	天鹅饲养
haply	偶然地
vault	拱顶
hypersexual	性欲过度的
supposititious	想象的
flavourful	美味
infertile	不结果实
alumnus	男校友
gymp	绒丝带
assembled	组合
homespun	朴素
monocarpellary	单心皮的
podsolization	=podzolization
deexcitation	去激
cueist	玩撞球的人
kinsey	Charles
plant	种植
rugged	粗糙
glaum	一瞥
nongovernment	非政治的
overweening	骄傲
travoise	旧式雪橇
deanship	院长职
mgd	per
preatomic	原子能利用以前的
farthing	1/4旧便士
posnet	金属锅
crura	腿
conquerable	可征服的
hypotyposis	生动的叙述
esemplastic	有融合作用的
effractor	窃贼
treasure	财产
encarpus	花果形装饰
embellishment	修饰
wsj	Street
voluminous	大部分的
enzootic	地方性动物病
blurry	不清楚的
cold	不热情的
statement	声明
woodhouse	木柴间
southing	南行航程
insect	虫子一样
multinuclear	=multinucleate
kronshtadt	喀琅施塔
revival	再生效
teletypewriter	电传打字机
wobble	游移不定
applescript	APPLE
phoneticist	=phonetist
stirabout	吵闹
adventist	基督再临派成员
bronchogenic	支气管原
foreworld	史前世界
inheritrix	女继承人
niellist	乌银镶嵌师
scv	Veterans
distractingly	发狂似
armament	武器
occlude	使闭塞
localizer	定位器
hideous	可怕
intervallic	音程
whitehanded	诚实
tide	潮
upborne	被支撑着的
dawdling	懒散
incendive	易燃烧的
postcranial	颅下的
alibi	辩解
undisposed	未分配的
queasily	令人恶心
refractory	难熔
comate	伙伴
traffic	交通量
seclusive	爱孤独的
qarnns	Naval
socialise	=socialize
atempo	还原速度
escalation	扩大
equivocal	可疑的
dionysian	酒神节的
nonpolluting	不会引起污染的
subordinacy	下级地位
erivan	埃里温
attitudinarian	装模作样誌En/
metho	卫理公会教徒
ashen	苍白的
hood	兜帽
snippet	不知天高地厚的年轻人
diamagnetic	反磁性体
retia	膜层
sudaria	擦脸巾
magnetic	磁的
epicondylian	上髁的
innocent	无知的
ecstatically	心醉神迷
toft	宅地
duplicate	复制品
ferric	含铁
literality	精确
irresponsibility	无责任
hanoverian	汉诺威
monastical	僧院
reginal	威严
pulpitry	布道
conversible	=conversable
flimflam	欺诈
slash	猛砍
comparison	比喻
enrollment	入学
gloat	心满意足
derivative	系出
impellent	推动
astrophotometry	天体光度测量
leafiness	有叶的状态
fractionary	断片
shoemaker	鞋店
inexpectant	不期待
quadrivial	之一
gunmetal	炮铜
prevoyance	先见
frigidity	性感缺失
prospekt	大道
viticultural	葡萄栽培
thematic	主题的
depressor	抑压者
celeb	著名人士
squarish	有点方的
