waterfront	滨水地区
astringent	严酷的
astringent	严酷
astringent	涩的
astringent	涩
fundraising	筹款
fundraising	募款
fundraising	筹款的
fundraising	筹款
panatella	细长的雪茄之一种
atlatl	梭标投射器
andean	安第斯山脉的
andean	安第斯山脉
andean	安第斯人
notorious	声名狼籍的
notorious	声名狼籍
matchup	=match
paragrapher	短评记者
ibid	同前
ibid	如上
jujube	枣
covetously	妄想地
covetously	妄想
covetously	贪心地
covetously	贪心
mellowly	柔软且甜地
mellowly	柔软且甜
mellowly	成熟地
mellowly	成熟
moonless	无月亮的
moonless	无月亮
headiness	顽固
headiness	性急
headiness	任性
chon	分
dreadless	不怕的
dreadless	不怕
dreadless	无畏的
dreadless	无畏
dreadless	大胆的
dreadless	大胆
illyria	伊利里亚
muss	混乱
muss	使混乱
viewless	无景色的
viewless	无景色
viewless	无意见的
viewless	无意见
thighbone	股骨
thighbone	大腿骨
separateness	分开
separateness	分离
separateness	独自
brickyard	砖厂
quixotical	唐吉诃德式的
quixotical	唐吉诃德式
quixotical	狂想家的
quixotical	狂想家
cautionary	警戒的
cautionary	警戒
dysphasia	言语障碍症
cyanhydrin	氰醇
cyanhydrin	氰化醇
tabitha	塔比瑟
rationalize	合理化
cycloaliphatic	=alicyclic
spangle	亮晶晶的小东西
spangle	闪烁
talcum	滑石
yarovise	人工法使植物早熟
rodentian	啮齿目动物的
rodentian	啮齿目动物
rodentian	由啮齿目动物组成的
rodentian	由啮齿目动物组成
politicalize	使政治化
synopsize	作……的提要
synopsize	写……的梗概
synopsize	概述……的大意
transilluminate	`trAnsI9ljU:neIt/
transilluminate	透视法
fora	forum
fora	的复数
separationist	=separatist
ropy	绳状的
ropy	绳状
ropy	成粘丝的
ropy	成粘丝
ropy	肌肉发达的
ropy	肌肉发达
ropy	质量差的
ropy	质量差
falling	落下
falling	坠落
falling	下降
falling	陷落
falling	凹落
falling	崩塌
falling	落下的
falling	落下
falling	下降的
falling	下降
cornhusk	玉米之外壳
japannish	日本式的
japannish	日本式
japannish	日本风格的
japannish	日本风格
december	十二月
speedread	快速阅读
part	部分
part	局部
part	零件
part	角色
part	分开
part	分离
part	分配
part	分开
part	断裂
part	分手
part	部分地
part	部分
part	有几分
part	部分的
part	部分
part	局部的
part	局部
sadza	玉米粥
immortality	不朽
immortality	不朽的声名
affiche	公告
nacala	纳卡拉
adoratory	拜神的场所
vista	狭长的景色
vista	街景
vista	展望
vista	回想
overcorrect	矫枉过正的
overcorrect	矫枉过正
detonable	可爆炸的
detonable	可爆炸
wendy	house
wendy	温迪屋
provident	有远见的
provident	有远见
chishima	=KurilIslands
rootage	生根
rootage	固定
suspect	嫌疑犯
suspect	令人怀疑的
suspect	令人怀疑
suspect	不可信的
suspect	不可信
suspect	可疑的
suspect	可疑
suspect	怀疑
suspect	猜想
suspect	对……有所觉察
bonobo	倭黑猩猩
discobolus	掷铁饼者
discobolus	铁饼选手
discobolus	铁饼选手像
sphericity	球状
sphericity	球形
endophasia	内部言语
endophasia	无声语
cogas	煤的气化
unmortared	未用灰浆涂抹的
unmortared	未用灰浆涂抹
senhor	先生
senhor	君
dilute	冲淡
dilute	变淡
dilute	变弱
dilute	稀释
dilute	淡的
dilute	淡
dilute	弱的
dilute	弱
dilute	稀释的
dilute	稀释
modality	形式
modality	形态
modality	特征
autecologic	个体生态学的
autecologic	个体生态学
outstate	州内乡村地区
branchiate	有鳃的
branchiate	有鳃
chintz	印花棉布
xenobiology	外生物学
xenobiology	宇宙生物学
woodburytype	伍德伯里照相印版
woodburytype	伍德伯里照相印版印刷品
aten	=Aton
sardelle	欧洲沙丁鱼
sardelle	鲱科小鱼
fantast	幻想家
fantast	梦想家
lineage	血统
lineage	世系
reluctance	不愿
reluctance	勉强
extorsive	敲诈的
extorsive	敲诈
extorsive	勒索的
extorsive	勒索
vulpicide	不使用猎狗杀狐
threnetic	悲哀的
threnetic	悲哀
threnetic	哀悼的
threnetic	哀悼
threnetic	哀歌的
threnetic	哀歌
runology	如尼文字学
outargue	在辩论中胜过
outargue	驳倒
catholyte	阴极电解液
demure	端庄的
demure	端庄
instillator	滴注器
trothless	不忠诚的
trothless	不忠诚
trothless	不忠实的
trothless	不忠实
trothless	背信弃义的
trothless	背信弃义
expressivity	善于表达
expressivity	表达性
cyrtosis	脊椎弯曲
cyrtosis	骨弯曲
cocklestairs	盘旋楼梯
felsite	霏细岩
felsite	致密长石
scientism	科学至上主义
scientism	科学态度
antifeminist	反对女权主义的
antifeminist	反对女权主义
soapy	涂着肥皂的
soapy	涂着肥皂
soapy	滑腻腻的
soapy	滑腻腻
soapy	谄媚的
soapy	谄媚
soapy	圆滑的
soapy	圆滑
headsman	刽子手
headsman	死刑执行人
nucleolate	有细胞核的
nucleolate	有细胞核
nucleolate	含细胞核的
nucleolate	含细胞核
picric	苦味酸的
picric	苦味酸
picric	由苦味酸产生的
picric	由苦味酸产生
shears	大剪刀
shears	剪床
deprival	剥夺
ineffable	不能说的
ineffable	不能说
ineffable	不应说出的
ineffable	不应说出
ineffable	避讳的
ineffable	避讳
monorheme	单表位
monorheme	单述位
crook	钩状物
crook	弯处
crook	骗子
crook	使弯曲
crook	诈骗
crook	弯曲
vaccination	接种疫苗
vaccination	种痘
vaccination	牛痘疤
devolve	转移
devolve	传下
devolve	退化
devolve	衰落
devolve	被移交
sexavalent	=sexivalent
noachian	挪亚时代的
noachian	挪亚时代
noachian	古代的
noachian	古代
trapani	特拉帕尼
acrocyanosis	手足发绀
interlocal	地区间的
interlocal	区间
antiseptic	防腐的
antiseptic	防腐
antiseptic	杀菌的
antiseptic	杀菌
antiseptic	消过毒的
antiseptic	消过毒
antiseptic	防腐剂
antiseptic	杀菌剂
schizomycete	裂殖菌类
besought	beseech的过去式和过去分词
insight	洞察力
insight	见识
schismatical	分裂的
schismatical	分裂
schismatical	分离的
schismatical	分离
dermabrasion	磨去皮肤疤痕之手术
televiewer	电视收视者
redirect	重寄
redirect	使改道
redirect	使改变方向
heinie	屁股
dependant	侍从
dependant	食客
bushie	=bushy
multiverse	多元宇宙
lupercal	Lupercalia的单数
sydneysider	=Sydneyite
disgregate	分散
infliction	施加
infliction	使负担
merchantman	商船
merchantman	商人
sakkara	=Saqqara
cuculiform	杜鹃属的
cuculiform	杜鹃属
vibroscope	振动计
events	事件
ezra	以斯拉
ezra	以斯拉记
circunglibal	环地的
circunglibal	环
purely	纯粹地
purely	纯粹
purely	完全地
purely	完全
gaita	西班牙风笛
bewitchery	=bewitchment
sesamoid	芝麻籽状的
sesamoid	芝麻籽状
sesamoid	籽骨的
sesamoid	籽骨
sesamoid	籽骨
decoherence	脱散
hamshackle	将头和前足绑在一起
hamshackle	束缚
disconsolateness	悲伤
disconsolateness	阴暗
foliolate	具小叶的
foliolate	具小叶
podsol	=podzol
apoferritin	去铁铁朊
apoferritin	去铁铁蛋白
commorant	居住
commorant	居住的
commorant	居住
reappoint	再任命
reappoint	重新指定
eyewall	眼壁
centrist	中间派议员
centrist	中立派议员
tammerkoski	=Tampere
neoplasty	外科整形术
neoplasty	造形术
overweary	过度疲劳的
overweary	过度疲劳
overweary	筋疲力尽的
overweary	筋疲力尽
bodysurf	人体冲浪
stundism	史敦达教派
demersal	在底部的
demersal	在底部
demersal	居于水底的
demersal	居于水底
pneumonitis	局限性肺炎
pneumonitis	肺炎
foglight	雾灯
alecost	艾菊
danite	摩门教徒
cor	轻微的感叹词
angelfish	扁鲨
angelfish	刺蝶鱼
angelfish	天使鱼
heptameter	七步格
empathize	移情
empathize	神会
cine	电影
cine	电影院
ringy	环状的
ringy	环状
ringy	好斗的
ringy	好斗
ceres	谷类的女神
ceres	犹如希腊神化中的Demeter
leishmaniasis	利什曼病
moly	有白花和黑根的魔草
dumbhead	笨蛋
dumbhead	傻瓜
agamont	非生配体
agamont	裂殖体
alphabetical	依字母顺序的
alphabetical	依字母顺序
alphabetical	字母的
alphabetical	字母
wheelbarrow	独轮手推车
wheelbarrow	手推车
wheelbarrow	用于推车运送
ankylostomiasis	=ancylostomiasis
unreservedly	不客气地
unreservedly	不客气
unreservedly	率直地
unreservedly	率直
epibenthos	浅海底栖生物
verdantly	青绿地
verdantly	青绿
verdantly	生疏地
verdantly	生疏
fragmentary	由碎片组成的
fragmentary	由碎片组成
fragmentary	断断续续的
fragmentary	断断续续
eurythmic	和谐的
eurythmic	和谐
diarchial	两头政治的
diarchial	两头政治
diarchial	由两个统治者管理的
diarchial	由两个统治者管理
thready	线的
thready	线
thready	线状的
thready	线状
thready	象线的
thready	象线
thready	纤维性的
thready	纤维性
masseur	男按摩师
anecdotal	轶话的
anecdotal	轶话
anecdotal	多轶事趣闻的
anecdotal	多轶事趣闻
anecdotal	轶事一样的
anecdotal	轶事一样
rootworm	食虫
abas	打倒
ophiuran	海蛇尾纲动物
enterologist	肠病学
irrelievable	不能解除的
irrelievable	不能解除
irrelievable	不能减轻的
irrelievable	不能减轻
renationalization	重新收归国有
michigander	密歇根人
mishmi	米什米语
gabblement	=gabble
fascinate	使着迷
fascinate	使神魂颠倒
fascinate	入迷
fascinate	极度迷人的
fascinate	极度迷人
surfy	浪花的
surfy	浪花
surfy	波涛汹涌的
surfy	波涛汹涌
surfy	波涛多的
surfy	波涛多
epicondylitis	上髁炎
cispontine	在桥这边的
cispontine	在桥这边
phonemics	音位学
medievalism	中世纪性质
medievalism	中世纪精神
bleacher	漂白者
bleacher	漂白剂
bleacher	露天看台
cornloft	谷类仓库
lightningproof	防雷的
lightningproof	防雷
wfb	World
wfb	Fellowship
wfb	of
wfb	Buddhists世界佛教徒联谊会
toe	趾
toe	脚趾
toe	足尖
toe	以趾踏触
toe	用脚尖走
toe	动脚尖
toe	Tables
toe	of
toe	Organization
toe	and
toe	Equipment
toe	编制及装备表
repercussiveness	反响
repercussiveness	反射
suttle	净重的
suttle	净重
suttle	净重
accouche	接生
pogge	八角鱼
homme	人
anchoveta	秘鲁鯷
warfront	战争前线
fram	ferromangnetic
fram	random
fram	access
fram	memory
fram	铁磁式随机访问存储器
slabby	粘的
slabby	粘
slabby	胶粘的
slabby	胶粘
dipsophobiacal	惧酒症的
dipsophobiacal	惧酒症
dipsophobiacal	恐饮症的
dipsophobiacal	恐饮症
civism	公民精神
civism	公德心
requital	偿还
discern	目睹
discern	认识
discern	洞悉
discern	辨别
discern	看清楚
dilative	膨胀的
dilative	膨胀
dilative	膨胀性的
dilative	膨胀性
dilative	有扩张作用的
dilative	有扩张作用
unenthralled	未沦为奴隶的
unenthralled	未沦为奴隶
unenthralled	未被奴役的
unenthralled	未被奴役
unenthralled	不受别人支配的
unenthralled	不受别人支配
geostrophic	因地球自转而引起的
geostrophic	因地球自转而引起
geostrophic	地转风的
geostrophic	转风
piezochemistry	高压化学
york	约克角
york	使击球员出局
watermanship	划船技术
watermanship	水性
subsurface	表面下的
subsurface	表面下
subsurface	地下的
subsurface	下
valgus	外翻足
valgus	外翻足的人
valgus	外翻的
valgus	外翻
evocation	唤出
evocation	唤起
evocation	招魂
aberrance	脱离正道
aberrance	越轨
aberrance	反常
aberrance	变异
aberrance	畸变
glucogenic	生成葡糖的
glucogenic	生成葡糖
glucogenic	葡萄糖生成作用的
glucogenic	葡萄糖生成作用
quinquenniad	五年的时间
squamulate	=squamulose
wildish	有点粗暴的
wildish	有点粗暴
wildish	野蛮的
wildish	野蛮
wildish	有点荒凉的
wildish	有点荒凉
bugseed	海索草叶虫实
pic	照片
pic	电影
pic	一种图像文件扩展名
omental	网膜的
omental	网膜
ladle	杓子
ladle	长柄杓
ladle	以杓舀取
ladle	舀汤
ladle	不分对象予以赠送
schloss	城堡
schloss	宫殿
fragmentation	分裂
fragmentation	破碎
wanly	苍白地
wanly	苍白
wanly	无血色地
wanly	无血色
sufflate	=inflate
electioneer	从事选举活动
electioneer	从事选举活动
concelebrant	共祝圣餐者
concelebrant	共同主持弥撒的教士
brule	火烧后的森林
brule	被岩石或矮树覆盖的地
brule	被岩石或矮树覆盖的
tiltyard	骑士比武场
servitress	女仆
servitress	女佣
lactoflavin	核黄素
profilist	侧面像画家
profilist	剖面图制作者
nictheroy	=Niteroi
coffle	一列奴隶或兽类
heptamerous	分七部分的
heptamerous	分七部分
heptamerous	分七瓣的
heptamerous	分七瓣
resurgent	复活的
resurgent	复活
submandibular	下颌下的
submandibular	下颌下
featherwitted	愚人的
featherwitted	愚人
featherwitted	笨人的
featherwitted	笨人
subjectivity	主观性
subjectivity	主观
sericeous	丝绸一般的
sericeous	丝绸一般
sericeous	有丝绸光泽的
sericeous	有丝绸光泽
redness	红
redness	红色
windable	可绕的
windable	可绕
windable	可卷绕成团的
windable	可卷绕成团
repay	偿还
repay	报答
repay	报复
belt	带子
belt	地带
verminosis	寄生虫病
homomorphy	同形性
degranulation	脱粒
degranulation	失粒
chalan	发票
chalan	收据
chalan	通行证
chalan	运货单
tracheated	=tracheate
excussio	依法追债
legal	法律的
legal	法律
legal	法定的
legal	法定
legal	合法
incivility	粗野
heimlich	maneuver海姆利克氏操作法
cordate	心脏形的
cordate	心脏形
lemon	柠檬
lemon	柠檬色的
lemon	柠檬色
supplant	排挤掉
supplant	代替
hypothermic	低体温的
hypothermic	低体温
hypothermic	体温过低的
hypothermic	体温过低
splake	加拿大鳟
recountal	详细叙说
recountal	详细的话
pap	奶头
pap	半流质食物
pap	政治上的偏护
pap	Printer
pap	Access
pap	Protocol
pap	打印机访问协议
telephonitis	电话癖
exercisable	可实行的
exercisable	可实行
exercisable	可操作的
exercisable	可操作
exercisable	可运用的
exercisable	可运用
estella	埃斯特拉
parchment	羊皮纸
parchment	毕业文凭
caucasic	高加索人
caucasic	白种人的
caucasic	白种人
polytonality	多调性
polyethylene	聚乙烯
laterization	红土化作用
stratolab	高空实验室
differently	不同地
differently	不同
gaudily	俗丽地
gaudily	俗丽
ramachandra	罗摩占陀罗
biocytin	生物胞素
spinnable	可纺的
spinnable	可纺
discommodiously	不方便地
discommodiously	不方便
discommodiously	麻烦地
discommodiously	麻烦
aapamoor	丘泽
aapamoor	高低位镶嵌沼泽
dogly	狗的
dogly	狗
dogly	狗类的
dogly	狗类
ironstone	铁矿石
moue	撅嘴
moue	怪相
isle	小岛
isle	岛
isle	使成为岛屿
isle	住在岛屿上
fleer	狞笑
fleer	讥笑
castries	卡斯特里
spermophile	欧黄鼠
spermophile	美洲黄鼠
spectrum	光
spectrum	光谱
spectrum	型谱
spectrum	频谱
metairie	梅泰里
layer	层
layer	阶层
eriometer	衍射测微器
eriometer	微粒直径测定器
dyspathy	反感
dyspathy	厌恶
vavasory	封臣领地
vavasory	封臣领
vavasory	对领地占有使用权
empyreal	最高天的
empyreal	最高天
empyreal	苍天的
empyreal	苍天
empyreal	九天的
empyreal	九天
feelingly	感动地
feelingly	感动
feelingly	充满感情地
feelingly	充满感情
preseason	活跃季节前的
preseason	活跃季节前
preseason	旺季前的
preseason	旺季前
vorticism	旋涡主义画派
backlog	大木材
backlog	订货
chaldean	占星术的
chaldean	占星术
conics	圆锥曲线论
conics	锥线论
hyperplasia	增生
hyperplasia	数量性肥大
ripper	撕裂者
ripper	裂具
machmeter	马赫计
zhejiang	浙江
firing	开火
firing	生火
firing	烧窑
firing	烘烤
shotten	食用价值低的
shotten	食用价值低
shotten	没价值的
shotten	没价值
acetylsalicylate	乙酰水杨酸盐
occupy	占
occupy	占用
occupy	占领
occupy	占据
electrogenic	产生电的
electrogenic	产生电
yardstick	码尺
yardstick	准绳
pakistan	巴基斯坦
cornute	角状的
cornute	角状
cornute	有角的
cornute	有角
appetency	渴望
appetency	本能
appetency	欲望
scornfully	轻蔑地
scornfully	轻蔑
scornfully	藐视地
scornfully	藐视
postpaid	邮资已付的
postpaid	邮资已付
postpaid	邮资由收件人负担的
postpaid	邮资由收件人负担
coffinite	水硅铀矿
catechu	儿茶
sculptress	女雕刻家
eulogize	称赞
eulogize	颂扬
galoche	=galosh
untangle	解开
histogenetically	组织发生地
histogenetically	组织发生
embrace	拥抱
embrace	互相拥抱
embrace	包含
embrace	收买
embrace	信奉
embrace	拥抱
embrace	拥抱
immaculacy	纯洁
immaculacy	无暇
immaculacy	无缺点
multiplane	多翼机
blackbeetle	蟑螂
puromycin	嘌呤霉素
hemospasia	血液诱导法
hemospasia	杯吸导血法
snobbery	势利
baseless	无根据的
baseless	无根据
pollinosis	花粉病
pollinosis	枯草热
pollinosis	花粉热
ratio	比
ratio	比率
ratio	复本位制中金银的法定比价
lemonade	柠檬水
quitter	轻易停止的人
quitter	懦夫
botanically	植物学地
botanically	植物学
impolitic	失策的
impolitic	失策
impolitic	不得当的
impolitic	不得当
impolitic	不审慎的
impolitic	不审慎
impolitic	没见识的
impolitic	没见识
ondograph	电容式波形记录器
ondograph	高频示波器
peyton	佩顿
unitage	单位量的规定
unitage	单位量
pneumograph	呼吸描记器
jumpmaster	跳伞指挥员
jumpmaster	跳伞长
menorca	=Minorca
signally	显著地
signally	显著
signally	显眼地
signally	显眼
cutaway	下摆圆角的
cutaway	下摆圆角
cutaway	一部分切掉的
cutaway	一部分切掉
cutaway	下摆裁成圆角的礼服
gallooned	有丝带的
gallooned	有丝带
gallooned	有金银花边的
gallooned	有金银花边
herbless	无草的
herbless	无草
herbless	缺乏草本植物的
herbless	缺乏草本植物
promenade	散步
promenade	散步
promenade	散步的
promenade	散步
heartily	热忱地
heartily	热忱
daring	大胆的
daring	大胆
xiphodon	剑齿兽
euclid	欧几里得
euclid	欧几里
swarth	=sward
hemodialysis	血液透析
hemodialysis	血液渗析
southwestward	向西南的
southwestward	向西南
desulfurate	使除去硫磺
monarchist	君主制主义者
cavernicolous	穴栖的
cavernicolous	穴栖
cavernicolous	穴居的
cavernicolous	穴居
thrombectomy	血栓切除术
ropeway	索道
ropeway	空中缆索
pommy	英国移民
suppression	镇压
suppression	抑制
puissant	强大的
puissant	强大
puissant	有势力的
puissant	有势力
sometimey	反复无常的
sometimey	反复无常
ananias	亚拿尼亚
ananias	撒谎者
glass	玻璃
glass	玻璃制品
glass	玻璃杯
glass	镜子
glass	眼镜
glass	望远镜
glass	气压计
glass	晴雨表
glass	装玻璃于
glass	反映
glass	成玻璃状
caramba	唉呀!天哪!真倒霉!讨厌!
caramba	他妈的!
satisfiable	可以满足的
satisfiable	可以满足
puerility	幼稚
puerility	孩子气
puerility	天真
puerility	未成熟
uphroe	=euphroe
backlight	从背后照亮
backlight	背后照明
grunth	=Granth
bicho	男性生殖器
brindisi	布林迪西
eyebright	小米草
sacristan	教堂圣器收藏室的管理人
sacristan	教堂的看守人
eligibly	适当地
eligibly	适当
crotaline	响尾蛇的
crotaline	响尾蛇
crotaline	似响尾蛇的
crotaline	似响尾蛇
electrotonus	电紧张
enginery	机器
enginery	机械类
enginery	兵器
enginery	机能
pistole	从前西班牙金币
ferrotype	铁板照像
ferrotype	铁板照像法
ferrotype	用铁板给上光
kronen	奥地利旧金币
offensive	讨厌的
offensive	讨厌
offensive	无礼的
offensive	无礼
offensive	攻击性的
offensive	攻击性
offensive	进攻
offensive	攻势
arachnology	节肢动物学
vomitory	呕吐的
vomitory	呕吐
vomitory	催吐剂
thyreoid	=thyroid
cockade	帽章
midfield	球场中央部分
midfield	中场的
midfield	中场
galactoscope	乳酪计
continuation	继续
continuation	续集
continuation	延长
continuation	延长物
continuation	扩建物
continuation	附加部分
continuation	续刊、增刊
continuation	续篇
libelant	控告人
libelant	原告
libelant	诽谤者
impel	推动
impel	推进
impel	激励
impel	驱使
impel	逼迫
juridical	裁判的
juridical	裁判
juridical	司法的
juridical	司法
juridical	法院的
juridical	法院
rosina	罗西娜
reorder	再订购
reorder	重新安排
reorder	再订购
reorder	重新排序
reorder	再订购
oscillatory	摆动的
oscillatory	摆动
educationally	教育地有关教育地
educationally	教育地有关教育
educationally	教育上地
educationally	教育上
